,P,B
AA,0.9776596564896515,0.022340343510348522
AKs,0.9717129396798572,0.02828706032014277
AKo,0.6821105019755002,0.3178894980244998
AQs,0.7898197452453982,0.21018025475460184
AQo,0.1320951611864178,0.8679048388135822
AJs,0.6447920117033122,0.35520798829668787
AJo,0.43962939546812707,0.5603706045318729
ATs,0.868445275414415,0.13155472458558504
ATo,0.32948949487622775,0.6705105051237723
A9s,0.012383044209842244,0.9876169557901577
A9o,0.0013655069985373139,0.9986344930014627
A8s,0.5279621030622837,0.47203789693771625
A8o,0.08729560068754322,0.9127043993124567
A7s,0.01935366070375341,0.9806463392962467
A7o,0.0025801897291374298,0.9974198102708625
A6s,0.017933630898105568,0.9820663691018944
A6o,0.5893057253010796,0.41069427469892045
A5s,0.029419723948214734,0.9705802760517853
A5o,0.008889490458387174,0.9911105095416128
A4s,0.028982771316988308,0.9710172286830117
A4o,0.08942284484670686,0.9105771551532932
A3s,0.0330533485080606,0.9669466514919394
A3o,0.8406010023132988,0.1593989976867011
A2s,0.02142199348418807,0.978578006515812
A2o,0.9176787524125901,0.08232124758740998
KK,0.9939873388882804,0.0060126611117196655
KQs,0.823077046604999,0.17692295339500094
KQo,0.40460460505147394,0.595395394948526
KJs,0.9266534053733166,0.07334659462668337
KJo,0.472601910522679,0.527398089477321
KTs,0.8392059103225663,0.1607940896774336
KTo,0.005402437634166188,0.9945975623658337
K9s,0.3735008802580115,0.6264991197419885
K9o,0.04885269845819528,0.9511473015418047
K8s,0.4706919873554654,0.5293080126445345
K8o,0.007802487207479399,0.9921975127925206
K7s,0.19486827872718251,0.8051317212728174
K7o,0.007379522279044784,0.9926204777209553
K6s,0.10223053390939443,0.8977694660906056
K6o,0.004038371666271672,0.9959616283337283
K5s,0.06560078776682605,0.934399212233174
K5o,0.006172370036891788,0.9938276299631082
K4s,6.462453147214683e-05,0.9999353754685278
K4o,0.017995755542174408,0.9820042444578255
K3s,0.07860791674649274,0.9213920832535073
K3o,0.017829710690390226,0.9821702893096098
K2s,0.0069383241217268795,0.9930616758782731
K2o,0.008009420696104644,0.9919905793038953
QQ,0.9836943569931483,0.016305643006851625
QJs,0.9404552443610232,0.05954475563897687
QJo,0.039765766737746046,0.960234233262254
QTs,0.23398926999744024,0.7660107300025598
QTo,0.818759410168387,0.18124058983161304
Q9s,0.9195584527765243,0.08044154722347578
Q9o,0.05137012558140885,0.9486298744185911
Q8s,0.2784708317102412,0.7215291682897589
Q8o,0.1799039024534395,0.8200960975465605
Q7s,0.47205815080105235,0.5279418491989477
Q7o,0.013951404010731786,0.9860485959892683
Q6s,0.3501108485838044,0.6498891514161955
Q6o,0.00017356962257454662,0.9998264303774254
Q5s,0.000198943213649096,0.9998010567863509
Q5o,0.008394595882380201,0.9916054041176199
Q4s,0.07942308383082484,0.9205769161691751
Q4o,0.2773499952533668,0.7226500047466332
Q3s,0.18203688996221126,0.8179631100377888
Q3o,0.8796837985718555,0.12031620142814453
Q2s,6.392227051904884e-05,0.9999360777294809
Q2o,0.9924798064851275,0.007520193514872597
JJ,0.9901624181837236,0.009837581816276449
JTs,0.4642383976931203,0.5357616023068797
JTo,0.04151866362895079,0.9584813363710493
J9s,0.9158054043069457,0.0841945956930544
J9o,0.006672317162627104,0.9933276828373728
J8s,0.012876568742807723,0.9871234312571923
J8o,0.5498516768798106,0.4501483231201894
J7s,0.01749119141420901,0.982508808585791
J7o,0.986189838714243,0.013810161285756944
J6s,0.008474748081036366,0.9915252519189636
J6o,0.9987858864023778,0.0012141135976221759
J5s,0.649215217990074,0.35078478200992597
J5o,0.9903054453455036,0.009694554654496342
J4s,0.8690654595190618,0.1309345404809383
J4o,0.9990480375171893,0.0009519624828106878
J3s,0.9485377162284705,0.051462283771529574
