,P,B
AA,0.03166936662656471,0.9683306333734353
AKs,0.004901960784313725,0.9950980392156863
AKo,0.005578897595912044,0.994421102404088
AQs,0.0049504950495049506,0.995049504950495
AQo,0.0014970059880239522,0.9985029940119761
AJs,0.0992275642272073,0.9007724357727926
AJo,0.01713726874349436,0.9828627312565056
ATs,0.004464285714285714,0.9955357142857143
ATo,0.0014577259475218659,0.9985422740524781
A9s,0.02342326103910284,0.976576738960897
A9o,0.09114367680608727,0.9088563231939127
A8s,0.11857323165241501,0.881426768347585
A8o,0.007412398921832884,0.9925876010781671
A7s,0.0040650406504065045,0.9959349593495935
A7o,0.007392644970886704,0.9926073550291133
A6s,0.004032258064516129,0.9959677419354839
A6o,0.0014749262536873156,0.9985250737463127
A5s,0.003968253968253968,0.996031746031746
A5o,0.16192726663768484,0.8380727333623151
A4s,0.7577813156774154,0.24221868432258448
A4o,0.04275071858537889,0.9572492814146212
A3s,0.05028952751929798,0.9497104724807021
A3o,0.0636168690863174,0.9363831309136826
A2s,0.016230317869692618,0.9837696821303075
A2o,0.0013774104683195593,0.9986225895316805
KK,0.002702702702702703,0.9972972972972973
KQs,0.004424778761061947,0.995575221238938
KQo,0.0013550135501355014,0.9986449864498645
KJs,0.004098360655737705,0.9959016393442623
KJo,0.0068513421213743705,0.9931486578786256
KTs,0.004201680672268907,0.9957983193277311
KTo,0.0013698630136986301,0.9986301369863013
K9s,0.004132231404958678,0.9958677685950413
K9o,0.001388888888888889,0.9986111111111111
K8s,0.0034482758620689655,0.996551724137931
K8o,0.0443976919545184,0.9556023080454816
K7s,0.004310344827586207,0.9956896551724138
K7o,0.001488095238095238,0.9985119047619048
K6s,0.2725824613970507,0.7274175386029492
K6o,0.011880196181938654,0.9881198038180613
K5s,0.004464285714285714,0.9955357142857143
K5o,0.0014124293785310734,0.998587570621469
K4s,0.0045045045045045045,0.9954954954954955
K4o,0.0014084507042253522,0.9985915492957746
K3s,0.5800843450538556,0.41991565494614436
K3o,0.0013089005235602095,0.9986910994764397
K2s,0.05497232898773694,0.945027671012263
K2o,0.0014245014245014246,0.9985754985754985
QQ,0.01263195675879567,0.9873680432412043
QJs,0.008446933226595675,0.9915530667734043
QJo,0.0012531328320802004,0.9987468671679198
QTs,0.003816793893129771,0.9961832061068703
QTo,0.07625154184187496,0.923748458158125
Q9s,0.004310344827586207,0.9956896551724138
Q9o,0.0012953367875647669,0.9987046632124352
Q8s,0.015776699029126214,0.9842233009708737
Q8o,0.002818454517101131,0.9971815454828988
Q7s,0.03571428571428571,0.9642857142857143
Q7o,0.025878984924293642,0.9741210150757065
Q6s,0.004629629629629629,0.9953703703703703
Q6o,0.0013020833333333333,0.9986979166666666
Q5s,0.011557177615571776,0.9884428223844282
Q5o,0.05151868506848654,0.9484813149315134
Q4s,0.038767629088963966,0.961232370911036
Q4o,0.007380952380952383,0.9926190476190476
Q3s,0.5409724231403614,0.45902757685963863
Q3o,0.0012787723785166241,0.9987212276214834
Q2s,0.0057372446766745175,0.9942627553233254
Q2o,0.005271775954227208,0.9947282240457729
JJ,0.0029411764705882353,0.9970588235294118
JTs,0.013305621423596762,0.9866943785764032
JTo,0.001336898395721925,0.9986631016042781
J9s,0.025627211800641807,0.9743727881993582
J9o,0.0013440860215053765,0.9986559139784946
J8s,0.02878965922444183,0.9712103407755581
J8o,0.0014124293785310734,0.998587570621469
J7s,0.09480409467023394,0.905195905329766
J7o,0.001366120218579235,0.9986338797814208
J6s,0.46889924640487035,0.5311007535951296
J6o,0.011905750627168893,0.9880942493728312
J5s,0.31155562873938464,0.6884443712606152
J5o,0.0015105740181268882,0.9984894259818731
J4s,0.23216848101008597,0.767831518989914
J4o,0.0013297872340425532,0.9986702127659575
J3s,0.02592463512672203,0.974075364873278
J3o,0.2998527870816689,0.700147212918331
J2s,0.0846605642086316,0.9153394357913683
J2o,0.001392757660167131,0.9986072423398329
TT,0.002840909090909091,0.9971590909090909
T9s,0.013805241714951502,0.9861947582850484
T9o,0.001282051282051282,0.9987179487179487
T8s,0.017515980227588636,0.9824840197724114
T8o,0.1105850180302785,0.8894149819697215
T7s,0.3387598593620907,0.6612401406379094
T7o,0.6993510051637446,0.3006489948362553
T6s,0.04204634777053959,0.9579536522294604
T6o,0.0012690355329949238,0.998730964467005
T5s,0.004166666666666667,0.9958333333333333
T5o,0.011288825898084987,0.988711174101915
T4s,0.26037179350963113,0.7396282064903689
T4o,0.001440922190201729,0.9985590778097982
T3s,0.03595890410958904,0.964041095890411
T3o,0.2565335750220057,0.7434664249779943
T2s,0.003968253968253968,0.996031746031746
T2o,0.0030570010283944332,0.9969429989716055
99,0.1307507260476223,0.8692492739523777
98s,0.015573176428685814,0.9844268235713142
98o,0.0015151515151515152,0.9984848484848485
97s,0.03756409776296274,0.9624359022370372
97o,0.09698987037733463,0.9030101296226654
96s,0.09979759020538777,0.9002024097946122
96o,0.0012468827930174563,0.9987531172069826
95s,0.36392596620286893,0.6360740337971311
95o,0.013854444685907888,0.9861455553140921
94s,0.551978153250408,0.44802184674959206
94o,0.002912615679035455,0.9970873843209646
93s,0.012978142076502733,0.9870218579234973
93o,0.008278568265236354,0.9917214317347636
92s,0.01675310226226696,0.9832468977377331
92o,0.001288659793814433,0.9987113402061856
88,0.04841105393926179,0.9515889460607383
87s,0.9830745341614907,0.016925465838509318
87o,0.0013623978201634877,0.9986376021798365
86s,0.007705479452054794,0.9922945205479452
86o,0.0019728285966915003,0.9980271714033085
85s,0.004,0.996
85o,0.5128792785778924,0.4871207214221075
84s,0.22411656753276232,0.7758834324672377
84o,0.0014285714285714286,0.9985714285714286
83s,0.4335482926565242,0.5664517073434758
83o,0.34740323439639936,0.6525967656036006
82s,0.09730273063395178,0.9026972693660482
82o,0.0057128244930553865,0.9942871755069447
77,0.002857142857142857,0.9971428571428571
76s,0.7763766426263072,0.2236233573736928
76o,0.8774924086401557,0.12250759135984436
75s,0.13686238897062225,0.8631376110293777
75o,0.43966112993621476,0.5603388700637854
74s,0.019976258492411622,0.9800237415075883
74o,0.3942527928510069,0.6057472071489931
73s,0.42672689427400495,0.573273105725995
73o,0.30228184429562815,0.6977181557043719
72s,0.0117706234078999,0.9882293765921001
72o,0.1759122620979185,0.8240877379020816
66,0.0026595744680851063,0.9973404255319149
65s,0.2399835571537421,0.7600164428462578
65o,0.885289095255314,0.11471090474468601
64s,0.8034822857259624,0.19651771427403755
64o,0.002386065378191362,0.9976139346218086
63s,0.08328908844742687,0.9167109115525731
63o,0.0014326647564469914,0.998567335243553
62s,0.9956896551724138,0.004310344827586207
62o,0.4929277023379179,0.5070722976620822
55,0.0029585798816568047,0.9970414201183432
54s,0.003875968992248062,0.9961240310077519
54o,0.0012315270935960591,0.9987684729064039
53s,0.004761904761904762,0.9952380952380953
53o,0.09486434734573328,0.9051356526542668
52s,0.560165397440012,0.439834602559988
52o,0.31059052110005253,0.6894094788999474
44,0.0026595744680851063,0.9973404255319149
43s,0.0033333333333333335,0.9966666666666667
43o,0.5113159831935349,0.48868401680646517
42s,0.023657413439441992,0.9763425865605581
42o,0.7278672555630696,0.27213274443693036
33,0.002380952380952381,0.9976190476190476
32s,0.20253513255285985,0.7974648674471402
32o,0.590324918828577,0.40967508117142304
22,0.90978236648022,0.09021763351978003
AAP,0.00558659217877095,0.994413407821229
AKsP,0.01834862385321101,0.981651376146789
AKoP,0.025914634146341462,0.9740853658536586
AQsP,0.10956358666859191,0.8904364133314081
AQoP,0.024782242925896956,0.9752177570741031
AJsP,0.004310344827586207,0.9956896551724138
AJoP,0.33560176214076565,0.6643982378592344
ATsP,0.23265762798595874,0.7673423720140413
AToP,0.5022465964920068,0.4977534035079932
A9sP,0.0040650406504065045,0.9959349593495935
A9oP,0.06733985280604242,0.9326601471939576
A8sP,0.1333878021596411,0.8666121978403589
A8oP,0.009722222222222222,0.9902777777777778
A7sP,0.2602028553542836,0.7397971446457164
A7oP,0.24331147469558972,0.7566885253044103
A6sP,0.303185547628354,0.6968144523716461
A6oP,0.0013477088948787063,0.9986522911051213
A5sP,0.032440678423002633,0.9675593215769974
A5oP,0.08848319299494843,0.9115168070050516
A4sP,0.006622516556291391,0.9933774834437086
A4oP,0.062384369278307795,0.9376156307216923
A3sP,0.7027038739844608,0.29729612601553923
A3oP,0.38996620398856185,0.6100337960114381
