,P,B
AA,0.0007022471910112359,0.9992977528089888
AKs,0.001002004008016032,0.998997995991984
AKo,0.013503455623498755,0.9864965443765012
AQs,0.0010706638115631692,0.9989293361884368
AQo,0.00033692722371967657,0.9996630727762803
AJs,0.011979502202072936,0.9880204977979271
AJo,0.0003333333333333333,0.9996666666666667
ATs,0.03289089478108732,0.9671091052189127
ATo,0.0014251860238791848,0.9985748139761209
A9s,0.043188399922984205,0.9568116000770158
A9o,0.00035486160397445,0.9996451383960255
A8s,0.0009765625,0.9990234375
A8o,0.006509708124018351,0.9934902918759817
A7s,0.0010869565217391304,0.9989130434782608
A7o,0.0007792859626620255,0.9992207140373379
A6s,0.0066178931748690556,0.993382106825131
A6o,0.00035612535612535614,0.9996438746438746
A5s,0.0011135857461024498,0.9988864142538976
A5o,0.00035285815102328866,0.9996471418489767
A4s,0.036517733666574716,0.9634822663334254
A4o,0.00035486160397445,0.9996451383960255
A3s,0.016091434392324903,0.9839085656076751
A3o,0.000343878954607978,0.999656121045392
A2s,0.00102880658436214,0.9989711934156379
A2o,0.0005330490405117271,0.9994669509594882
KK,0.0018154951392215359,0.9981845048607785
KQs,0.05280775464684037,0.9471922453531596
KQo,0.019214962366266665,0.9807850376337334
KJs,0.001,0.999
KJo,0.008995717886204499,0.9910042821137955
KTs,0.0010224948875255625,0.9989775051124744
KTo,0.00035536602700781805,0.9996446339729922
K9s,0.0010787947913696411,0.9989212052086304
K9o,0.00033738191632928474,0.9996626180836707
K8s,0.000992063492063492,0.9990079365079365
K8o,0.004039213648765495,0.9959607863512344
K7s,0.00572324074895491,0.9942767592510451
K7o,0.005198798180770478,0.9948012018192295
K6s,0.29431091982507246,0.7056890801749275
K6o,0.0012920280875671213,0.998707971912433
K5s,0.058012948260428555,0.9419870517395714
K5o,0.00033783783783783786,0.9996621621621622
K4s,0.007740111225586077,0.9922598887744138
K4o,0.00035435861091424523,0.9996456413890857
K3s,0.0010460251046025104,0.9989539748953975
K3o,0.003583388141910364,0.9964166118580896
K2s,0.0010570824524312897,0.9989429175475687
K2o,0.0003654970760233918,0.9996345029239766
QQ,0.001388888888888889,0.9986111111111111
QJs,0.003867187665954403,0.9961328123340456
QJo,0.03741359229533783,0.9625864077046622
QTs,0.001072961373390558,0.9989270386266095
QTo,0.009003629630866447,0.9909963703691336
Q9s,0.002603481057226129,0.9973965189427739
Q9o,0.0017265465735695198,0.9982734534264305
Q8s,0.0009487666034155598,0.9990512333965844
Q8o,0.0008692628650904034,0.9991307371349096
Q7s,0.0032622805315197234,0.9967377194684803
Q7o,0.02750851792593431,0.9724914820740657
Q6s,0.001059322033898305,0.9989406779661016
Q6o,0.00035014005602240897,0.9996498599439776
Q5s,0.012084832040468332,0.9879151679595316
Q5o,0.006504547257260559,0.9934954527427394
Q4s,0.002305327868852459,0.9976946721311475
Q4o,0.0006339814032121725,0.9993660185967879
Q3s,0.0050053066624412765,0.9949946933375587
Q3o,0.00034698126301179735,0.9996530187369882
Q2s,0.003620083137689166,0.9963799168623109
Q2o,0.0003465003465003465,0.9996534996534997
JJ,0.0006954102920723226,0.9993045897079277
JTs,0.0009746588693957114,0.9990253411306043
JTo,0.0003399048266485384,0.9996600951733514
J9s,0.0010869565217391304,0.9989130434782608
J9o,0.0008116883116883117,0.9991883116883117
J8s,0.08859575290404328,0.9114042470959567
J8o,0.0032414562802430065,0.996758543719757
J7s,0.0009276437847866419,0.9990723562152134
J7o,0.01221422626933766,0.9877857737306622
J6s,0.0009523809523809524,0.9990476190476191
J6o,0.0028483235868950046,0.997151676413105
J5s,0.0015770556026045487,0.9984229443973955
J5o,0.0003508771929824561,0.9996491228070176
J4s,0.001037344398340249,0.9989626556016598
J4o,0.03610852314286909,0.9638914768571308
J3s,0.016899773347757475,0.9831002266522426
J3o,0.0005033557046979866,0.999496644295302
J2s,0.002004008016032064,0.9979959919839679
J2o,0.0003489183531053733,0.9996510816468946
TT,0.002324749642346209,0.9976752503576538
T9s,0.012503025132997352,0.9874969748670027
T9o,0.00033178500331785003,0.9996682149966821
T8s,0.13862414663127395,0.861375853368726
T8o,0.000343878954607978,0.999656121045392
T7s,0.003290672346798327,0.9967093276532016
T7o,0.0003443526170798898,0.9996556473829201
T6s,0.0037231004864066975,0.9962768995135933
T6o,0.0003337783711615487,0.9996662216288384
T5s,0.001098901098901099,0.9989010989010989
T5o,0.0003448275862068965,0.9996551724137931
T4s,0.002053388090349076,0.997946611909651
T4o,0.0021993270255709183,0.9978006729744291
T3s,0.0016722408026755853,0.9983277591973244
T3o,0.0003506311360448808,0.9996493688639552
T2s,0.10526398720973017,0.8947360127902698
T2o,0.00119007188584539,0.9988099281141546
99,0.0018740629685157421,0.9981259370314842
98s,0.08255115289747524,0.9174488471025247
98o,0.05266202192791548,0.9473379780720845
97s,0.000984251968503937,0.9990157480314961
97o,0.0029311587524656845,0.9970688412475343
96s,0.0010416666666666667,0.9989583333333333
96o,0.00035211267605633805,0.9996478873239436
95s,0.012337394194505224,0.9876626058054948
95o,0.00035211267605633805,0.9996478873239436
94s,0.00611855935366922,0.9938814406463308
94o,0.0011231024116623149,0.9988768975883378
93s,0.001026694045174538,0.9989733059548255
93o,0.00033783783783783786,0.9996621621621622
92s,0.001002004008016032,0.998997995991984
92o,0.2375942313618493,0.7624057686381507
88,0.0013295913187096587,0.9986704086812903
87s,0.0009940357852882703,0.9990059642147118
87o,0.3393768705775696,0.6606231294224304
86s,0.003304347330896004,0.9966956526691041
86o,0.0008464488468043392,0.9991535511531956
85s,0.016010354989225026,0.9839896450107749
85o,0.0014252007489816484,0.9985747992510184
84s,0.4756897014801956,0.5243102985198044
84o,0.05189188726148474,0.9481081127385153
83s,0.49198965312282467,0.5080103468771753
83o,0.26325568625372087,0.7367443137462791
82s,0.2721325937934507,0.7278674062065493
82o,0.014031244208336954,0.9859687557916631
77,0.0023193499897167396,0.9976806500102833
76s,0.012629697071937989,0.987370302928062
76o,0.07389830397576837,0.9261016960242316
75s,0.07312662994493384,0.9268733700550662
75o,0.4890155204105021,0.510984479589498
74s,0.0033643892339544515,0.9966356107660456
74o,0.7148687373659232,0.28513126263407673
73s,0.40102535381147375,0.5989746461885264
73o,0.8679124531254131,0.13208754687458696
72s,0.0016218974818207877,0.9983781025181792
72o,0.8873575570856923,0.11264244291430771
66,0.0007052186177715092,0.9992947813822285
65s,0.25726903875459556,0.7427309612454045
65o,0.34199884003205705,0.658001159967943
64s,0.014387305816733885,0.9856126941832661
64o,0.2844616996833723,0.7155383003166277
63s,0.3741033915728349,0.6258966084271651
63o,0.9693477348109828,0.030652265189017123
62s,0.00996802694933129,0.9900319730506687
62o,0.0003380662609871535,0.9996619337390128
55,0.002064803049555273,0.9979351969504447
54s,0.012099992976644543,0.9879000070233555
54o,0.12046574564829726,0.8795342543517027
53s,0.29850432084105827,0.7014956791589417
53o,0.8910132421474294,0.10898675785257066
52s,0.9908424387399654,0.009157561260034698
52o,0.2767184328953146,0.7232815671046854
44,0.16720729587920144,0.8327927041207985
43s,0.0010330578512396695,0.9989669421487604
43o,0.860302927272021,0.139697072727979
42s,0.21384387230212595,0.786156127697874
42o,0.7566089393112968,0.24339106068870328
33,0.036039667791291356,0.9639603322087087
32s,0.5244121817564955,0.47558781824350443
32o,0.7926837174243954,0.2073162825756047
22,0.0007012622720897616,0.9992987377279102
AAP,0.0022668462107444855,0.9977331537892555
AKsP,0.002912621359223301,0.9970873786407767
AKoP,0.0003484320557491289,0.9996515679442509
AQsP,0.0010183299389002036,0.9989816700610998
AQoP,0.0003465003465003465,0.9996534996534997
AJsP,0.04585970990016981,0.9541402900998301
AJoP,0.04915766973340328,0.9508423302665967
ATsP,0.14506913311794553,0.8549308668820544
AToP,0.00033829499323410016,0.9996617050067659
A9sP,0.014099783080260303,0.9859002169197397
A9oP,0.0006939625260235947,0.9993060374739764
A8sP,0.033988390907145775,0.9660116090928543
A8oP,0.016089271832429433,0.9839107281675705
A7sP,0.07228737996147348,0.9277126200385265
A7oP,0.16876782904165355,0.8312321709583465
A6sP,0.05165864379169221,0.9483413562083078
A6oP,0.15155720800038203,0.8484427919996179
A5sP,0.011278195488721804,0.9887218045112782
A5oP,0.004963211642672054,0.9950367883573279
A4sP,0.04860399564830601,0.9513960043516939
A4oP,0.001389854065323141,0.9986101459346769
A3sP,0.1080655790006893,0.8919344209993108
A3oP,0.019298615982262866,0.9807013840177371
A2sP,0.13706643033218757,0.8629335696678123
A2oP,0.0009973404255319148,0.9990026595744681
KKP,0.0006622516556291391,0.9993377483443708
KQsP,0.10071720202373796,0.8992827979762621
KQoP,0.028353214084221517,0.9716467859157786
KJsP,0.00641025641025641,0.9935897435897436
KJoP,0.04744854402466485,0.9525514559753352
KTsP,0.015544632112153524,0.9844553678878465
KToP,0.0035236081747709656,0.9964763918252291
K9sP,0.0010395010395010396,0.998960498960499
K9oP,0.0006934812760055479,0.9993065187239945
K8sP,0.015593753269816798,0.9844062467301832
K8oP,0.02406733523988548,0.9759326647601144
K7sP,0.0031185031185031187,0.9968814968814969
K7oP,0.0003599712023038157,0.9996400287976962
K6sP,0.0021321961620469083,0.997867803837953
K6oP,0.00034340659340659343,0.9996565934065934
K5sP,0.31972900928128556,0.6802709907187144
K5oP,0.0007262164124909223,0.9992737835875091
K4sP,0.1412837242103787,0.8587162757896213
K4oP,0.0003429355281207133,0.9996570644718793
K3sP,0.013026052104208416,0.9869739478957916
K3oP,0.04584808936694618,0.9541519106330538
K2sP,0.07514042330637277,0.9248595766936273
K2oP,0.019443044600310985,0.9805569553996891
QQP,0.0027739251040221915,0.9972260748959778
QJsP,0.028293152892799912,0.9717068471072
QJoP,0.0024238227146814403,0.9975761772853186
QTsP,0.002127659574468085,0.997872340425532
QToP,0.006301084714570494,0.9936989152854294
Q9sP,0.010677254046934297,0.9893227459530658
Q9oP,0.00033647375504710633,0.9996635262449529
Q8sP,0.008335315749542578,0.9916646842504574
Q8oP,0.0683353869520501,0.93166461304795
Q7sP,0.021472683728712992,0.978527316271287
Q7oP,0.0003429355281207133,0.9996570644718793
Q6sP,0.11276077084417964,0.8872392291558203
Q6oP,0.00034317089910775565,0.9996568291008923
Q5sP,0.2510158844296155,0.7489841155703846
Q5oP,0.0003405994550408719,0.9996594005449592
Q4sP,0.09102471469112565,0.9089752853088743
Q4oP,0.08613262449385847,0.9138673755061415
Q3sP,0.0096580235449873,0.9903419764550127
Q3oP,0.08888832749542128,0.9111116725045787
Q2sP,0.5360134220116103,0.4639865779883896
Q2oP,0.10137687438126868,0.8986231256187313
JJP,0.00472972972972973,0.9952702702702703
JTsP,0.055925227782745245,0.9440747722172548
JToP,0.03253044042753453,0.9674695595724655
J9sP,0.004246284501061571,0.9957537154989384
J9oP,0.08097084902703805,0.9190291509729619
J8sP,0.060653029333062033,0.939346970666938
J8oP,0.04035503944428507,0.959644960555715
J7sP,0.043981207601835715,0.9560187923981642
J7oP,0.011867976876794042,0.988132023123206
J6sP,0.24824005149518716,0.7517599485048129
J6oP,0.32407621258745006,0.6759237874125499
J5sP,0.0626505738181458,0.9373494261818541
J5oP,0.020268332587385727,0.9797316674126143
J4sP,0.15296736016732934,0.8470326398326706
J4oP,0.004934735089213573,0.9950652649107864
J3sP,0.0021027773174440326,0.9978972226825559
J3oP,0.02757009574779604,0.972429904252204
J2sP,0.22337665748007454,0.7766233425199254
J2oP,0.3752454067023194,0.6247545932976807
TTP,0.013869414842475327,0.9861305851575247
T9sP,0.01698188173821122,0.9830181182617888
T9oP,0.00034411562284927734,0.9996558843771507
T8sP,0.03761899856565221,0.9623810014343478
T8oP,0.001838728603733521,0.9981612713962664
T7sP,0.15892694421929518,0.8410730557807048
T7oP,0.0003551136363636364,0.9996448863636364
T6sP,0.010079957096192287,0.9899200429038078
T6oP,0.13295163458902823,0.8670483654109717
T5sP,0.1461151473195719,0.853884852680428
T5oP,0.044366964758218844,0.9556330352417811
T4sP,0.005886028968588813,0.9941139710314112
T4oP,0.026072281266526734,0.9739277187334733
T3sP,0.12399767187195054,0.8760023281280495
T3oP,0.01262571506080304,0.987374284939197
