,P,B
AA,0.9582584908815415,0.0417415091184585
AKs,0.3432002058890182,0.6567997941109818
AKo,0.4196378215380096,0.5803621784619905
AQs,0.7490976368566719,0.2509023631433282
AQo,0.44444146399312506,0.5555585360068749
AJs,0.00271476833976834,0.9972852316602316
AJo,0.9561416717578671,0.04385832824213292
ATs,0.3462061220283669,0.653793877971633
ATo,0.19351674142465564,0.8064832585753444
A9s,0.7876439940309679,0.21235600596903212
A9o,0.0007858183271119794,0.999214181672888
A8s,0.6969362421755771,0.3030637578244228
A8o,0.00017661603673613564,0.9998233839632639
A7s,0.31564761135498093,0.684352388645019
A7o,0.1323356374952881,0.8676643625047119
A6s,0.05515917841218178,0.9448408215878182
A6o,0.07277763610806427,0.9272223638919358
A5s,0.003306322649505225,0.9966936773504949
A5o,0.0009945190947666196,0.9990054809052333
A4s,0.0016914427291785782,0.9983085572708215
A4o,0.9793701014056635,0.02062989859433639
A3s,0.17926949000392745,0.8207305099960726
A3o,0.11496216699520848,0.8850378330047916
A2s,0.01046798540791374,0.9895320145920862
A2o,0.105235774727346,0.894764225272654
KK,0.8552358628060118,0.14476413719398823
KQs,0.43416358229736923,0.5658364177026308
KQo,0.001492634026081418,0.9985073659739186
KJs,0.2802566664196417,0.7197433335803582
KJo,0.6476964620944309,0.3523035379055692
KTs,0.05937157893377986,0.9406284210662201
KTo,0.6568845639757901,0.34311543602420996
K9s,0.10664086335173319,0.8933591366482668
K9o,0.00017170329670329672,0.9998282967032966
K8s,0.9130014543553491,0.08699854564465091
K8o,0.22547150488150142,0.7745284951184986
K7s,0.51205840586065,0.48794159413935007
K7o,0.000561700656757691,0.9994382993432424
K6s,0.03546213172635849,0.9645378682736415
K6o,0.0003304736348134145,0.9996695263651866
K5s,0.13073118581540383,0.8692688141845962
K5o,0.22549698448098332,0.7745030155190167
K4s,0.011171893604416838,0.9888281063955832
K4o,0.0002762485729610261,0.999723751427039
K3s,0.3327823945816736,0.6672176054183263
K3o,0.012838221847799841,0.9871617781522001
K2s,0.004542992720466055,0.9954570072795339
K2o,0.012271539458341247,0.9877284605416587
QQ,0.9607147600219539,0.039285239978046
QJs,0.01364680976920857,0.9863531902307915
QJo,0.15595583150045622,0.8440441684995438
QTs,0.7365089107914432,0.26349108920855685
QTo,0.3602685338008381,0.6397314661991619
Q9s,0.05918789941519219,0.9408121005848078
Q9o,0.00017397355601948505,0.9998260264439806
Q8s,0.07257252941431379,0.9274274705856863
Q8o,0.08636267371284585,0.9136373262871541
Q7s,0.16864682902143752,0.8313531709785625
Q7o,0.007917114087198453,0.9920828859128016
Q6s,0.029505173674222614,0.9704948263257774
Q6o,0.2900083120748631,0.7099916879251368
Q5s,0.1991312153038616,0.8008687846961384
Q5o,0.027569187072548407,0.9724308129274516
Q4s,0.09312945859584779,0.9068705414041522
Q4o,0.024221201450713388,0.9757787985492866
Q3s,0.2802768562323928,0.7197231437676072
Q3o,0.5084203106581996,0.4915796893418004
Q2s,0.21899747565589528,0.7810025243441047
Q2o,0.4351308035676872,0.5648691964323128
JJ,0.8920962703361437,0.10790372966385636
