,P,B
AA,0.9844430103090227,0.01555698969097729
AKs,0.93743351820206,0.06256648179794
AKo,0.00040824984126487765,0.9995917501587351
AQs,0.9517768065942314,0.048223193405768645
AQo,4.3429167028576395e-05,0.9999565708329714
AJs,0.369362207985296,0.630637792014704
AJo,0.2759038674276549,0.7240961325723452
ATs,0.5456030125383835,0.45439698746161644
ATo,0.000286023601575363,0.9997139763984246
A9s,0.0037121864371347283,0.9962878135628653
A9o,0.0001319646272697916,0.9998680353727303
A8s,0.009736260156465825,0.9902637398435342
A8o,0.02638701053090113,0.9736129894690989
A7s,0.005655215262628035,0.994344784737372
A7o,0.01730291727957226,0.9826970827204277
A6s,0.013255925854212128,0.9867440741457879
A6o,0.3047202949126407,0.6952797050873594
A5s,0.1886654503320623,0.8113345496679377
A5o,0.05183275106468987,0.9481672489353101
A4s,0.29176788091948014,0.70823211908052
A4o,0.0016308958204615952,0.9983691041795385
A3s,0.023541530542547505,0.9764584694574524
A3o,0.010053469108390254,0.9899465308916098
A2s,0.05177814348703864,0.9482218565129614
A2o,0.10623841873521347,0.8937615812647866
KK,0.9482737224018263,0.051726277598173775
KQs,0.14541209646529615,0.8545879035347038
KQo,0.14990124677863806,0.8500987532213619
KJs,0.8125774717889946,0.18742252821100536
KJo,0.6155711930729626,0.38442880692703735
KTs,0.3309646421563734,0.6690353578436266
KTo,0.1654003961076814,0.8345996038923187
K9s,0.10298733918873092,0.8970126608112691
K9o,0.007601576149259992,0.9923984238507401
K8s,0.013227757239840456,0.9867722427601596
K8o,0.002290087742801563,0.9977099122571984
K7s,0.03240272638164551,0.9675972736183545
K7o,4.274234911950761e-05,0.9999572576508805
K6s,0.00012873326467559217,0.9998712667353244
K6o,0.0020182148131735406,0.9979817851868265
K5s,0.34026336472752194,0.6597366352724781
K5o,0.0018809982910300029,0.9981190017089699
K4s,0.10005357107958625,0.8999464289204138
K4o,0.0252018171166885,0.9747981828833114
K3s,0.0008405540944901308,0.9991594459055099
K3o,0.016243074072051358,0.9837569259279486
K2s,0.00214506710372371,0.9978549328962764
K2o,0.0004774442991995775,0.9995225557008005
