,P,B
AA,0.9303668035560461,0.06963319644395395
AKs,0.003356643315604123,0.9966433566843959
AKo,0.14988647920211087,0.850113520797889
AQs,0.8103013806459857,0.18969861935401428
AQo,0.7246799879779726,0.2753200120220273
AJs,0.060844274134200675,0.9391557258657993
AJo,0.5801676145480045,0.41983238545199547
ATs,0.0011155119584602344,0.9988844880415397
ATo,0.08006550368756002,0.91993449631244
A9s,0.05957004606063209,0.9404299539393679
A9o,0.009126340704085897,0.9908736592959141
A8s,0.6391408898730729,0.360859110126927
A8o,0.21097238774078836,0.7890276122592116
A7s,0.6617440024997036,0.3382559975002965
A7o,0.005503977666750185,0.9944960223332497
A6s,0.08301930770825944,0.9169806922917406
A6o,0.019088528233472877,0.980911471766527
A5s,0.08849324428886392,0.911506755711136
A5o,0.10262377514747124,0.8973762248525287
A4s,0.10374906738100212,0.8962509326189979
A4o,0.10262619042744972,0.8973738095725503
A3s,0.07154395791305607,0.928456042086944
A3o,0.09405408248161479,0.9059459175183853
A2s,0.027067172865662643,0.9729328271343374
A2o,0.21993992942166335,0.7800600705783366
KK,0.9595735674756105,0.04042643252438949
KQs,0.09585225962182839,0.9041477403781716
KQo,0.010075296476461902,0.989924703523538
KJs,0.12820872104583997,0.8717912789541601
KJo,8.484642796538266e-05,0.9999151535720346
KTs,0.17246866181159895,0.8275313381884011
KTo,0.8022127135387642,0.19778728646123586
K9s,0.32021911202259207,0.6797808879774079
K9o,0.08139273517382603,0.9186072648261739
K8s,0.0002523977788995457,0.9997476022211005
K8o,0.0009588483975746476,0.9990411516024255
K7s,0.6614986819984244,0.3385013180015757
K7o,0.3568507883746328,0.6431492116253672
K6s,0.34420475392048433,0.6557952460795157
K6o,0.003193229523149259,0.9968067704768506
K5s,0.00027307482250136535,0.9997269251774986
K5o,0.03380301967587478,0.9661969803241253
K4s,0.05365306862980514,0.9463469313701949
K4o,0.005500492447472428,0.9944995075525276
K3s,0.7661181122709128,0.23388188772908727
K3o,0.06954703081580779,0.9304529691841922
K2s,0.126628657556123,0.873371342443877
K2o,8.730574471800244e-05,0.999912694255282
QQ,0.9934755926589109,0.006524407341089018
QJs,0.7910098601565343,0.2089901398434657
QJo,0.7225988336748298,0.2774011663251701
QTs,0.987959386334486,0.012040613665514024
QTo,0.31841983572284493,0.6815801642771551
