,P,B
AA,0.9311145456593833,0.06888545434061664
AKs,0.2562618172545753,0.7437381827454247
AKo,0.000730744669027965,0.9992692553309721
AQs,0.001031489718880615,0.9989685102811194
AQo,0.0037841545727720152,0.996215845427228
AJs,0.14894759933257842,0.8510524006674216
AJo,0.0001796551990005366,0.9998203448009995
ATs,0.7839144013570706,0.21608559864292942
ATo,0.06938393948002401,0.930616060519976
A9s,0.027098336526989904,0.9729016634730101
A9o,8.210246515786216e-05,0.9999178975348422
A8s,0.008861562923513644,0.9911384370764863
A8o,4.3327556325823225e-05,0.9999566724436741
A7s,0.005630564253467327,0.9943694357465327
A7o,0.0015151803764933255,0.9984848196235068
A6s,0.19943304269465142,0.8005669573053487
A6o,0.007707384605178395,0.9922926153948216
A5s,0.00012635835228708617,0.9998736416477129
A5o,0.006436656037734993,0.993563343962265
A4s,0.0004926217458769143,0.9995073782541231
A4o,0.0016402311083619848,0.998359768891638
A3s,0.003568911467575734,0.9964310885324242
A3o,0.000263727537093969,0.999736272462906
A2s,0.10093748731004844,0.8990625126899516
A2o,4.317043688482128e-05,0.9999568295631152
KK,0.9541268344401237,0.045873165559876417
KQs,0.03116868749931035,0.9688313125006897
KQo,0.0004012521404950691,0.999598747859505
KJs,0.0001287001287001287,0.9998712998712999
KJo,4.341785342132685e-05,0.9999565821465787
KTs,0.00013451708366962604,0.9998654829163304
KTo,6.441243797536826e-05,0.9999355875620246
K9s,0.00012893243940175349,0.9998710675605983
K9o,0.0018429297558533284,0.9981570702441467
K8s,0.00701281883841085,0.9929871811615891
K8o,4.350474201687984e-05,0.9999564952579831
K7s,0.005540448379167156,0.9944595516208329
K7o,0.0001505046881537074,0.9998494953118462
K6s,0.14264135212660833,0.8573586478733917
K6o,0.003210303356552752,0.9967896966434473
K5s,0.00012813941568426448,0.9998718605843158
K5o,4.336889582791222e-05,0.9999566311041721
K4s,0.00037454880375577823,0.9996254511962442
K4o,0.0007141503121313223,0.9992858496878686
K3s,0.00012591286829513975,0.9998740871317049
K3o,0.0025810663888350626,0.997418933611165
K2s,0.00014009163744835247,0.9998599083625517
K2o,4.283022100394038e-05,0.9999571697789961
QQ,0.8675423002049729,0.13245769979502708
QJs,0.04137928398618466,0.9586207160138153
QJo,0.002347836183975166,0.9976521638160248
QTs,0.008525654936258195,0.9914743450637418
QTo,4.315553253927153e-05,0.9999568444674607
Q9s,0.019027695255615516,0.9809723047443845
Q9o,0.006470317509235492,0.9935296824907645
Q8s,0.019514480591137768,0.9804855194088622
Q8o,4.344426101312017e-05,0.9999565557389869
Q7s,0.00012794268167860799,0.9998720573183214
