,P,B
AA,0.9779239779150894,0.022076022084910496
AKs,0.465050557392302,0.5349494426076981
AKo,0.1723479066806449,0.8276520933193551
AQs,0.5544124230049658,0.4455875769950342
AQo,0.8141474766029604,0.1858525233970396
AJs,0.9761036416554234,0.02389635834457666
AJo,0.03234373550330744,0.9676562644966925
ATs,0.07139803094900833,0.9286019690509917
ATo,0.7302958709435311,0.26970412905646884
A9s,0.0023942602257264528,0.9976057397742736
A9o,0.024213411510620092,0.9757865884893799
A8s,0.5771452322845424,0.4228547677154575
A8o,0.00036340362752755356,0.9996365963724725
A7s,0.0009499872543163703,0.9990500127456836
A7o,0.0001347139694745427,0.9998652860305255
A6s,0.09799920832193819,0.9020007916780618
A6o,0.025348945213941872,0.9746510547860581
A5s,0.002934886783738137,0.9970651132162619
A5o,0.0075717173349404785,0.9924282826650596
A4s,0.002483836364439291,0.9975161636355607
A4o,4.322268326417704e-05,0.9999567773167358
A3s,0.006023792581537473,0.9939762074184625
A3o,0.01878363644784376,0.9812163635521564
A2s,0.09897199501100347,0.9010280049889965
A2o,0.5462855978524741,0.45371440214752584
KK,0.9908126864574069,0.009187313542593027
KQs,0.0033264501741139514,0.9966735498258861
KQo,0.5528982482846928,0.4471017517153071
KJs,0.834047642201765,0.16595235779823508
KJo,0.7810589573152545,0.21894104268474543
KTs,0.7389849352865451,0.261015064713455
KTo,0.5251538536197284,0.4748461463802715
K9s,0.17167210230984128,0.8283278976901588
K9o,0.005562013703221479,0.9944379862967786
K8s,0.00013007284079084288,0.9998699271592092
K8o,0.011632331142075882,0.9883676688579242
K7s,0.6149243113802598,0.3850756886197403
K7o,0.00585577532409715,0.9941442246759028
K6s,0.05424267724083533,0.9457573227591646
K6o,0.022426134488817705,0.9775738655111823
K5s,0.20344736117058285,0.7965526388294172
K5o,0.0033993897645723387,0.9966006102354276
K4s,0.39155090335085196,0.608449096649148
K4o,0.0013102019338989634,0.9986897980661009
K3s,0.13658512298322384,0.8634148770167761
K3o,0.01869232626163214,0.9813076737383678
K2s,0.16814441403105618,0.8318555859689438
K2o,6.730290629110137e-05,0.9999326970937089
QQ,0.9738165394005399,0.026183460599460015
QJs,0.9607104542417386,0.039289545758261414
QJo,0.25273926333710345,0.7472607366628966
QTs,0.05938147264489916,0.9406185273551009
QTo,0.13434179567876442,0.8656582043212355
Q9s,0.00542431554778568,0.9945756844522142
Q9o,0.2069706491497394,0.7930293508502606
Q8s,0.9609929459317332,0.03900705406826679
Q8o,0.255356065562302,0.7446439344376979
Q7s,0.20543365062770244,0.7945663493722975
Q7o,0.19345663341757216,0.8065433665824279
Q6s,0.5363391537281124,0.4636608462718876
Q6o,0.01204757066190691,0.987952429338093
Q5s,0.06467925332495526,0.9353207466750447
Q5o,0.09531368447560351,0.9046863155243965
Q4s,0.08077765847044595,0.9192223415295541
Q4o,0.02997036866433599,0.970029631335664
Q3s,0.10752902814853735,0.8924709718514626
Q3o,0.0011753853130685857,0.9988246146869314
Q2s,0.0018271295141045942,0.9981728704858954
Q2o,4.2387249915225503e-05,0.9999576127500848
JJ,0.9575283854590159,0.042471614540984054
JTs,0.002622395012860237,0.9973776049871398
JTo,0.12126934576272053,0.8787306542372795
J9s,0.5082145233327208,0.4917854766672793
J9o,0.33405053807780927,0.6659494619221907
J8s,0.26258851715695847,0.7374114828430415
J8o,0.3016948953420582,0.6983051046579417
J7s,0.19840469355838572,0.8015953064416144
J7o,0.9828320682967973,0.017167931703202716
J6s,0.1360653065987152,0.8639346934012848
J6o,0.9761670607132438,0.023832939286756245
J5s,0.33322441596757885,0.6667755840324211
J5o,0.992371859880482,0.007628140119517876
J4s,0.0004417217008457884,0.9995582782991542
J4o,0.9992903479969859,0.000709652003014123
J3s,0.9620747274045551,0.03792527259544489
J3o,0.9994697143521017,0.0005302856478981512
J2s,0.9866042233680671,0.013395776631932942
J2o,0.9930113618034518,0.006988638196548231
TT,0.969069413525453,0.03093058647454705
T9s,0.7063693560567181,0.2936306439432818
T9o,0.21742973968482493,0.7825702603151751
T8s,0.845130014557441,0.15486998544255895
T8o,0.16579104162680852,0.8342089583731914
T7s,0.04535794929892999,0.95464205070107
T7o,0.9288981067640227,0.07110189323597732
T6s,0.3185311518334537,0.6814688481665463
T6o,0.9963433595773259,0.003656640422674126
T5s,0.004626630734597184,0.9953733692654029
T5o,0.9930565060075176,0.006943493992482363
T4s,0.9953823389386868,0.004617661061313196
T4o,0.9989731112835084,0.00102688871649167
T3s,0.5568051445100666,0.4431948554899335
T3o,0.9945796792029504,0.00542032079704958
T2s,0.8273873624919296,0.17261263750807043
T2o,0.9999567174515236,4.3282548476454294e-05
99,0.9979901882274805,0.0020098117725194037
98s,0.10735145543708675,0.8926485445629133
98o,0.004883867327126665,0.9951161326728732
97s,0.49228185980827893,0.5077181401917211
97o,0.005584867710770428,0.9944151322892295
96s,0.08546208437745764,0.9145379156225424
96o,0.9188311740705434,0.08116882592945657
95s,0.0001339046598821639,0.9998660953401178
95o,0.9530812721727087,0.046918727827291305
94s,0.023100829203968554,0.9768991707960315
94o,0.9312123259841845,0.0687876740158156
93s,0.8268029240618522,0.17319707593814784
93o,0.9959604769421269,0.004039523057873232
92s,0.9066036865991545,0.09339631340084546
92o,0.9970739659551733,0.0029260340448266703
88,0.9841823677623853,0.015817632237614718
87s,0.14363549516938554,0.8563645048306144
87o,0.3127384100169507,0.6872615899830493
86s,0.09902521670857434,0.9009747832914257
86o,0.9959121110524349,0.00408788894756507
85s,0.25998967821400687,0.7400103217859931
85o,0.9789524913120575,0.021047508687942525
84s,0.6067703428383334,0.3932296571616667
84o,0.9968337686873552,0.003166231312644793
83s,0.9044177831922271,0.0955822168077729
83o,0.9929953237743144,0.007004676225685574
82s,0.9545457973502429,0.04545420264975706
82o,0.9990792711851189,0.0009207288148811712
77,0.9082203595488199,0.09177964045118016
76s,0.0026121342428691717,0.9973878657571308
76o,0.8493851267775189,0.1506148732224811
75s,0.1378885944475229,0.8621114055524771
75o,0.9961941271983227,0.003805872801677373
74s,0.42107181093030943,0.5789281890696906
74o,0.989327270158921,0.010672729841078905
73s,0.918504486589221,0.08149551341077901
73o,0.9983701220603921,0.0016298779396078525
72s,0.959024287892279,0.04097571210772103
72o,0.9983583190744139,0.001641680925586128
66,0.7814835397066262,0.21851646029337388
65s,0.8042025533172633,0.19579744668273677
65o,0.9982775389621119,0.0017224610378880688
64s,0.3542415742462778,0.6457584257537221
64o,0.9606347209307038,0.039365279069296266
63s,0.9225613952878736,0.07743860471212644
63o,0.999860998317383,0.0001390016826170268
62s,0.996787216804025,0.0032127831959749727
62o,0.9980382638264873,0.0019617361735127336
55,0.0535704305739641,0.9464295694260358
54s,0.6946623973437724,0.3053376026562275
54o,0.9939004904130714,0.00609950958692857
53s,0.9900152179032643,0.009984782096735744
53o,0.9999562248292768,4.377517072316582e-05
52s,0.9983221468419881,0.00167785315801195
52o,0.9999568370165746,4.316298342541436e-05
44,0.015026408930501844,0.9849735910694981
43s,0.9957518334433116,0.004248166556688368
43o,0.9945320831689173,0.005467916831082745
42s,0.9858561129255247,0.014143887074475316
42o,0.9965834983021976,0.0034165016978024735
33,0.053202498699241096,0.9467975013007588
32s,0.9998719590268886,0.00012804097311139564
32o,0.9985683737504986,0.0014316262495014565
22,0.25168274711395994,0.74831725288604
AAP,0.0005717305997583958,0.9994282694002417
AKsP,0.008807996610883356,0.9911920033891166
AKoP,0.0016295383196763963,0.9983704616803236
AQsP,0.0009076763485477179,0.9990923236514523
AQoP,4.3118316660917556e-05,0.9999568816833391
AJsP,0.00038501026694045176,0.9996149897330595
AJoP,0.015430969499977527,0.9845690305000225
ATsP,0.050066260685211264,0.9499337393147887
AToP,0.0018254409705319166,0.9981745590294682
A9sP,0.0017832914048435276,0.9982167085951565
A9oP,0.001965794166224045,0.998034205833776
A8sP,0.013174117864546968,0.986825882135453
A8oP,0.0011438286178837081,0.9988561713821164
A7sP,0.006409866422680581,0.9935901335773194
A7oP,0.09449071780266664,0.9055092821973334
A6sP,0.25390876987094657,0.7460912301290534
A6oP,0.2459327723935526,0.7540672276064474
A5sP,0.00012987012987012987,0.9998701298701299
A5oP,4.298117424568039e-05,0.9999570188257543
A4sP,0.6093887494792954,0.3906112505207045
A4oP,0.016852169324436193,0.9831478306755638
A3sP,0.03403272086790314,0.9659672791320969
A3oP,0.0007091553339422607,0.9992908446660578
A2sP,0.2925845186125778,0.7074154813874223
A2oP,0.07068773384233877,0.9293122661576613
KKP,0.00017361111111111112,0.9998263888888889
KQsP,0.0004727960430608089,0.9995272039569393
KQoP,0.0014082779938021425,0.9985917220061978
KJsP,0.011048409015678365,0.9889515909843216
KJoP,0.003694461996902492,0.9963055380030975
KTsP,0.0006480041472265422,0.9993519958527735
KToP,6.901311249137337e-05,0.9999309868875087
K9sP,0.0117843423939748,0.9882156576060251
K9oP,0.0021654332448500227,0.9978345667551499
K8sP,0.005372034299172563,0.9946279657008275
K8oP,4.3733053441791306e-05,0.9999562669465583
K7sP,0.001021965983214869,0.9989780340167852
K7oP,0.0004886561013870913,0.999511343898613
K6sP,0.05833563156142086,0.9416643684385791
K6oP,0.0014043787090867318,0.9985956212909133
K5sP,0.007550427892534794,0.9924495721074652
K5oP,0.0009014635628610882,0.9990985364371389
K4sP,0.02204381479122877,0.9779561852087713
K4oP,0.004174926023484516,0.9958250739765155
K3sP,0.016661427725543347,0.9833385722744566
K3oP,0.029599683302900935,0.9704003166970991
K2sP,0.0029744994236339407,0.9970255005763661
K2oP,0.013192815344364912,0.986807184655635
QQP,0.0006034004797944567,0.9993965995202055
QJsP,0.006388987422969361,0.9936110125770307
QJoP,0.00024833923139007885,0.9997516607686099
QTsP,0.00013297872340425532,0.9998670212765958
QToP,0.00024049506880990978,0.9997595049311901
Q9sP,0.010103959633029017,0.989896040366971
Q9oP,8.678295582747549e-05,0.9999132170441726
Q8sP,0.00012645422357106728,0.999873545776429
Q8oP,0.0033827797330858254,0.9966172202669141
Q7sP,0.02257434159522376,0.9774256584047762
Q7oP,0.030353085623329955,0.96964691437667
Q6sP,0.09698722920959013,0.9030127707904099
Q6oP,0.000556861208429796,0.9994431387915702
Q5sP,0.003650084424021803,0.9963499155759782
Q5oP,0.0055601154282701,0.9944398845717298
Q4sP,0.039976448417822816,0.9600235515821771
Q4oP,0.010100014104796535,0.9898999858952036
Q3sP,0.055062028479667506,0.9449379715203325
Q3oP,0.19669175441743228,0.8033082455825677
Q2sP,0.0013245361175859816,0.998675463882414
Q2oP,0.38793931549461436,0.6120606845053856
JJP,0.0011607091336402618,0.9988392908663598
JTsP,0.032373271021321606,0.9676267289786784
JToP,0.0809058675228024,0.9190941324771976
J9sP,0.002522213245534358,0.9974777867544656
J9oP,0.01825607403687626,0.9817439259631237
J8sP,0.36414364140127725,0.6358563585987227
J8oP,0.9950270242139546,0.0049729757860453834
J7sP,0.12785833972355512,0.8721416602764449
J7oP,0.7824466230394838,0.2175533769605162
J6sP,0.19288126868257052,0.8071187313174295
J6oP,0.40599161758154306,0.594008382418457
J5sP,0.1818675280588039,0.818132471941196
J5oP,0.9910434381090598,0.008956561890940195
J4sP,0.00012953367875647668,0.9998704663212435
J4oP,0.993386054215499,0.006613945784501053
J3sP,0.5513117200784429,0.4486882799215571
J3oP,0.9959641518613497,0.004035848138650308
J2sP,0.9932981584311449,0.006701841568855115
J2oP,0.6755813150494314,0.32441868495056864
TTP,0.0008221823566804262,0.9991778176433195
T9sP,0.009666854917225758,0.9903331450827743
T9oP,0.15847716096422862,0.8415228390357714
T8sP,0.2677647268710836,0.7322352731289165
T8oP,6.768020241303638e-05,0.999932319797587
