,P,B
AA,0.038065661452098276,0.9619343385479018
AKs,0.09261697092473305,0.907383029075267
AKo,0.00273224043715847,0.9972677595628415
AQs,0.00684931506849315,0.9931506849315068
AQo,0.0029069767441860465,0.997093023255814
AJs,0.006578947368421052,0.993421052631579
AJo,0.012218045112781954,0.987781954887218
ATs,0.007575757575757576,0.9924242424242424
ATo,0.2910021057725911,0.7089978942274089
A9s,0.006756756756756757,0.9932432432432432
A9o,0.002702702702702703,0.9972972972972973
A8s,0.008064516129032258,0.9919354838709677
A8o,0.014798850574712644,0.9852011494252875
A7s,0.018518518518518517,0.9814814814814815
A7o,0.002702702702702703,0.9972972972972973
A6s,0.008620689655172414,0.9913793103448276
A6o,0.0029069767441860465,0.997093023255814
A5s,0.020454545454545454,0.9795454545454545
A5o,0.014551774722327559,0.9854482252776725
A4s,0.01020408163265306,0.9897959183673469
A4o,0.0029069767441860465,0.997093023255814
A3s,0.07142857142857142,0.9285714285714286
A3o,0.0024154589371980675,0.9975845410628019
A2s,0.1654525963742539,0.8345474036257461
A2o,0.002631578947368421,0.9973684210526316
KK,0.0045871559633027525,0.9954128440366973
KQs,0.00847457627118644,0.9915254237288136
KQo,0.0031847133757961785,0.9968152866242038
KJs,0.009259259259259259,0.9907407407407407
KJo,0.0024390243902439024,0.9975609756097561
KTs,0.016304347826086956,0.9836956521739131
KTo,0.0028735632183908046,0.9971264367816092
K9s,0.03508914709740745,0.9649108529025926
K9o,0.002890173410404624,0.9971098265895953
K8s,0.007936507936507936,0.9920634920634921
K8o,0.012396686508448614,0.9876033134915514
K7s,0.06202078252886784,0.9379792174711322
K7o,0.0029411764705882353,0.9970588235294118
K6s,0.009259259259259259,0.9907407407407407
K6o,0.06938339514184344,0.9306166048581564
K5s,0.13491568261711198,0.865084317382888
K5o,0.002777777777777778,0.9972222222222222
K4s,0.27545541416455477,0.7245445858354453
K4o,0.002793296089385475,0.9972067039106145
K3s,0.07608667136375204,0.923913328636248
K3o,0.0026455026455026454,0.9973544973544973
K2s,0.4052327766285045,0.5947672233714955
K2o,0.6638221350462312,0.3361778649537687
QQ,0.010072192203680183,0.9899278077963197
QJs,0.1749153877223391,0.825084612277661
QJo,0.020159219311761685,0.9798407806882383
QTs,0.0334236346317265,0.9665763653682735
QTo,0.03643592216344619,0.9635640778365538
Q9s,0.03365384615384615,0.9663461538461539
Q9o,0.011858586840142297,0.9881414131598577
Q8s,0.00847457627118644,0.9915254237288136
Q8o,0.011623376623376624,0.9883766233766234
Q7s,0.3451303767939167,0.6548696232060832
Q7o,0.2665293129255271,0.7334706870744728
Q6s,0.00819672131147541,0.9918032786885246
Q6o,0.026775032639561182,0.9732249673604388
Q5s,0.06194236189827585,0.9380576381017242
Q5o,0.002702702702702703,0.9972972972972973
Q4s,0.007936507936507936,0.9920634920634921
Q4o,0.2653701573734693,0.7346298426265307
Q3s,0.025812530894710826,0.9741874691052892
Q3o,0.00273224043715847,0.9972677595628415
Q2s,0.008333333333333333,0.9916666666666667
Q2o,0.002824858757062147,0.9971751412429378
JJ,0.005208333333333333,0.9947916666666666
JTs,0.2269206869649367,0.7730793130350633
JTo,0.10282692242594407,0.897173077574056
J9s,0.015807768274665446,0.9841922317253345
J9o,0.0026595744680851063,0.9973404255319149
J8s,0.009259259259259259,0.9907407407407407
J8o,0.010278968754447755,0.9897210312455522
J7s,0.025807968995160684,0.9741920310048393
J7o,0.04497729152976347,0.9550227084702365
J6s,0.3926222912145311,0.6073777087854689
J6o,0.054839457389190306,0.9451605426108097
J5s,0.05175183455486169,0.9482481654451383
J5o,0.002380952380952381,0.9976190476190476
J4s,0.017500720560642415,0.9824992794393576
J4o,0.02915096501368787,0.9708490349863121
J3s,0.03571428571428571,0.9642857142857143
J3o,0.0030120481927710845,0.9969879518072289
J2s,0.011111111111111112,0.9888888888888889
J2o,0.5169743053010665,0.48302569469893364
TT,0.004901960784313725,0.9950980392156863
T9s,0.2840420972554086,0.7159579027445914
T9o,0.09814065529428734,0.9018593447057127
T8s,0.02754237288135593,0.972457627118644
T8o,0.0027472527472527475,0.9972527472527473
T7s,0.009259259259259259,0.9907407407407407
T7o,0.0030120481927710845,0.9969879518072289
T6s,0.020890545931146347,0.9791094540688537
T6o,0.003048780487804878,0.9969512195121951
T5s,0.550278874668944,0.44972112533105607
T5o,0.19460211648488218,0.8053978835151178
T4s,0.03125,0.96875
T4o,0.002824858757062147,0.9971751412429378
T3s,0.049821950169467756,0.9501780498305322
T3o,0.05121704283429095,0.948782957165709
T2s,0.28261551682774055,0.7173844831722594
T2o,0.0026041666666666665,0.9973958333333334
99,0.04150757793292263,0.9584924220670773
98s,0.018442622950819672,0.9815573770491803
98o,0.002512562814070352,0.9974874371859297
97s,0.008620689655172414,0.9913793103448276
97o,0.07047165031606517,0.9295283496839348
96s,0.00625,0.99375
96o,0.0029411764705882353,0.9970588235294118
95s,0.10305752828962024,0.8969424717103798
95o,0.002851004247187258,0.9971489957528128
94s,0.4821327619285703,0.5178672380714296
94o,0.5428564471435294,0.45714355285647046
