,P,B
AA,0.027777777777777776,0.9722222222222222
AKs,0.03125,0.96875
AKo,0.06759619234154832,0.9324038076584518
AQs,0.038461538461538464,0.9615384615384616
AQo,0.3422861831174565,0.6577138168825434
AJs,0.14981312987197445,0.8501868701280255
AJo,0.4543936620366234,0.5456063379633765
ATs,0.6187281308441995,0.3812718691558004
ATo,0.01282051282051282,0.9871794871794872
A9s,0.078125,0.921875
A9o,0.010869565217391304,0.9891304347826086
A8s,0.1789440340211837,0.8210559659788164
A8o,0.040625,0.959375
A7s,0.05726843001164525,0.9427315699883547
A7o,0.009615384615384616,0.9903846153846154
A6s,0.025,0.975
A6o,0.011111111111111112,0.9888888888888889
A5s,0.03333333333333333,0.9666666666666667
A5o,0.24733501997968943,0.7526649800203106
A4s,0.041666666666666664,0.9583333333333334
A4o,0.013888888888888888,0.9861111111111112
A3s,0.03125,0.96875
A3o,0.00980392156862745,0.9901960784313726
A2s,0.13194444444444445,0.8680555555555555
A2o,0.010638297872340425,0.9893617021276596
KK,0.06845519123588933,0.9315448087641107
KQs,0.08333333333333333,0.9166666666666666
KQo,0.5134013009008975,0.4865986990991025
KJs,0.21856224743987493,0.781437752560125
KJo,0.030637254901960783,0.9693627450980392
KTs,0.0625,0.9375
KTo,0.013157894736842105,0.9868421052631579
K9s,0.02631578947368421,0.9736842105263158
K9o,0.014705882352941176,0.9852941176470589
K8s,0.05555555555555555,0.9444444444444444
K8o,0.017543859649122806,0.9824561403508771
K7s,0.203125,0.796875
K7o,0.07915937369360548,0.9208406263063945
K6s,0.038461538461538464,0.9615384615384616
K6o,0.010416666666666666,0.9895833333333334
K5s,0.4033768151155997,0.5966231848844004
K5o,0.043783033483814064,0.956216966516186
K4s,0.029411764705882353,0.9705882352941176
K4o,0.011627906976744186,0.9883720930232558
K3s,0.06602614117779515,0.9339738588222048
K3o,0.12722816399286987,0.8727718360071302
K2s,0.038461538461538464,0.9615384615384616
K2o,0.18228341040334103,0.8177165895966589
QQ,0.04320832355740065,0.9567916764425993
QJs,0.038461538461538464,0.9615384615384616
QJo,0.011111111111111112,0.9888888888888889
QTs,0.08330729980214516,0.9166927001978548
QTo,0.05955197338669492,0.940448026613305
Q9s,0.03125,0.96875
Q9o,0.39401869038691495,0.605981309613085
Q8s,0.17916666666666667,0.8208333333333333
Q8o,0.4207211611501802,0.5792788388498197
Q7s,0.5127730676513157,0.48722693234868425
Q7o,0.4640856231917791,0.535914376808221
Q6s,0.15454545454545457,0.8454545454545456
Q6o,0.032506718551315573,0.9674932814486844
Q5s,0.24889856476091882,0.7511014352390811
Q5o,0.01020408163265306,0.9897959183673469
Q4s,0.02631578947368421,0.9736842105263158
Q4o,0.3736259635679745,0.6263740364320255
Q3s,0.3567435638197167,0.6432564361802832
Q3o,0.5452946756227478,0.45470532437725225
