,P,B
AA,0.8456656303438617,0.1543343696561383
AKs,0.08500979135116285,0.9149902086488372
AKo,0.16397275641075296,0.8360272435892471
AQs,0.0723370115187773,0.9276629884812228
AQo,0.4199760402721719,0.5800239597278282
AJs,0.48235853263494805,0.5176414673650519
AJo,0.4577837656204648,0.5422162343795353
ATs,0.25435264199631297,0.7456473580036871
ATo,0.005263157894736842,0.9947368421052631
A9s,0.10648124485303319,0.8935187551469668
A9o,0.05897622965213448,0.9410237703478654
A8s,0.1442263751842487,0.8557736248157513
A8o,0.006024096385542169,0.9939759036144579
A7s,0.37925085623154764,0.6207491437684525
A7o,0.1453233162563233,0.8546766837436767
A6s,0.10870997819821282,0.8912900218017873
A6o,0.9943181818181818,0.005681818181818182
A5s,0.08017241379310346,0.9198275862068965
A5o,0.14233016459766126,0.8576698354023387
A4s,0.13725390819003577,0.8627460918099642
A4o,0.36653493666344217,0.6334650633365578
A3s,0.5851790024239262,0.4148209975760739
A3o,0.04963418398169859,0.9503658160183014
A2s,0.9246499383487359,0.07535006165126415
A2o,0.7863426872482272,0.21365731275177277
KK,0.014285714285714285,0.9857142857142858
KQs,0.39567499063547956,0.6043250093645205
KQo,0.11652591058085321,0.8834740894191467
KJs,0.2618795165405649,0.738120483459435
KJo,0.29239192006122505,0.7076080799387748
KTs,0.1278180496315822,0.8721819503684178
KTo,0.005555555555555556,0.9944444444444445
K9s,0.7862210917542204,0.21377890824577966
K9o,0.17024783457945952,0.8297521654205404
K8s,0.19029021825884318,0.8097097817411568
K8o,0.019439421338155512,0.9805605786618444
K7s,0.015625,0.984375
K7o,0.09743052060943061,0.9025694793905694
K6s,0.021739130434782608,0.9782608695652174
K6o,0.5515922352163519,0.4484077647836481
K5s,0.019230769230769232,0.9807692307692307
K5o,0.04004696675510881,0.9599530332448912
K4s,0.040793780146588354,0.9592062198534116
K4o,0.029922037775594296,0.9700779622244057
K3s,0.034482758620689655,0.9655172413793104
K3o,0.009615384615384616,0.9903846153846154
K2s,0.014705882352941176,0.9852941176470589
K2o,0.030403711662749636,0.9695962883372503
QQ,0.7160521427798162,0.28394785722018384
QJs,0.5086977258898226,0.49130227411017724
QJo,0.20373187421628242,0.7962681257837176
QTs,0.9814814814814815,0.018518518518518517
QTo,0.046976935546117635,0.9530230644538823
Q9s,0.7490521098204814,0.2509478901795186
Q9o,0.053358438055539525,0.9466415619444605
Q8s,0.384140689632484,0.6158593103675161
Q8o,0.20145975422782303,0.798540245772177
Q7s,0.1650555809067056,0.8349444190932943
Q7o,0.1443074939106921,0.8556925060893078
Q6s,0.9337070999837188,0.06629290001628112
Q6o,0.24187656251198353,0.7581234374880165
Q5s,0.014285714285714285,0.9857142857142858
Q5o,0.1837454041081461,0.8162545958918539
Q4s,0.19826446182165516,0.8017355381783449
Q4o,0.5510447184245729,0.44895528157542713
Q3s,0.04265873015873016,0.9573412698412699
Q3o,0.005434782608695652,0.9945652173913043
Q2s,0.40826859126564735,0.5917314087343526
Q2o,0.006892230576441101,0.9931077694235588
JJ,0.7683423425026358,0.23165765749736414
JTs,0.10545840559338565,0.8945415944066144
JTo,0.2397712416329451,0.7602287583670548
J9s,0.8859199057201466,0.11408009427985345
J9o,0.22515003908020387,0.7748499609197961
J8s,0.2981928145694695,0.7018071854305304
J8o,0.029022024180299467,0.9709779758197005
J7s,0.0715586739442789,0.928441326055721
J7o,0.28628114987976105,0.713718850120239
J6s,0.45706187632603684,0.5429381236739631
J6o,0.005154639175257732,0.9948453608247423
J5s,0.07378593886657661,0.9262140611334234
J5o,0.0651421796792791,0.9348578203207208
J4s,0.021739130434782608,0.9782608695652174
J4o,0.25386737772526524,0.7461326222747348
J3s,0.7900860890652741,0.20991391093472583
J3o,0.03648703319749686,0.9635129668025031
J2s,0.12380977429460996,0.8761902257053901
J2o,0.05460767177452239,0.9453923282254777
TT,0.2855722382703972,0.7144277617296029
T9s,0.5749395207630951,0.42506047923690493
T9o,0.03038539102672214,0.9696146089732779
T8s,0.4218893834312951,0.5781106165687049
T8o,0.005747126436781609,0.9942528735632183
T7s,0.021739130434782608,0.9782608695652174
T7o,0.006024096385542169,0.9939759036144579
T6s,0.4249108631762725,0.5750891368237274
T6o,0.44560770949027806,0.5543922905097218
T5s,0.5583685287545557,0.44163147124544444
T5o,0.03193558596767195,0.968064414032328
T4s,0.08416714828546318,0.9158328517145369
T4o,0.08880739664368689,0.911192603356313
T3s,0.20446441252530803,0.795535587474692
T3o,0.09577412618778897,0.9042258738122111
T2s,0.5993304094406026,0.4006695905593974
T2o,0.32526558943185024,0.6747344105681498
99,0.2942710623846806,0.7057289376153194
98s,0.4988315449225991,0.5011684550774009
98o,0.019281639804401826,0.9807183601955982
97s,0.8886088182013497,0.11139118179865026
97o,0.1273031295562135,0.8726968704437864
96s,0.301509943539072,0.6984900564609279
96o,0.02444521497919556,0.9755547850208045
95s,0.30000615227974503,0.699993847720255
95o,0.019439421338155512,0.9805605786618444
94s,0.1461641041855505,0.8538358958144494
94o,0.03984332436753959,0.9601566756324604
93s,0.09285656875008984,0.9071434312499101
93o,0.4522186214312106,0.5477813785687894
92s,0.7948287697065884,0.20517123029341156
92o,0.005263157894736842,0.9947368421052631
88,0.0676429087773293,0.9323570912226707
87s,0.17000217320579425,0.8299978267942056
87o,0.91002267333023,0.08997732666976993
86s,0.39141978164066793,0.6085802183593321
86o,0.6715451546365486,0.3284548453634514
85s,0.04526209677419355,0.9547379032258064
85o,0.25303166640407654,0.7469683335959234
84s,0.6052474752421535,0.39475252475784656
84o,0.03030148225420531,0.9696985177457946
83s,0.9062389857400132,0.09376101425998687
83o,0.4737057513534705,0.5262942486465295
82s,0.23359445932313241,0.7664055406768676
82o,0.5357849000549709,0.464215099945029
77,0.8697088329705075,0.13029116702949253
76s,0.9861111111111112,0.013888888888888888
76o,0.005813953488372093,0.9941860465116279
75s,0.4725840353969137,0.5274159646030863
75o,0.13530199346044852,0.8646980065395514
74s,0.5894365645480787,0.41056343545192125
74o,0.10036760574314318,0.8996323942568567
73s,0.7328897664036407,0.26711023359635944
73o,0.9636008636241765,0.0363991363758235
72s,0.984375,0.015625
72o,0.9938271604938271,0.006172839506172839
66,0.028204915785102088,0.971795084214898
65s,0.9827586206896551,0.017241379310344827
65o,0.02615530579228993,0.9738446942077101
64s,0.647784705270109,0.35221529472989094
64o,0.5975693588383016,0.4024306411616983
63s,0.25924575231332425,0.7407542476866757
63o,0.3290510239449024,0.6709489760550976
62s,0.3596980275076793,0.6403019724923206
62o,0.7199602067293569,0.2800397932706431
55,0.3676440351857506,0.6323559648142494
54s,0.12511940976506195,0.874880590234938
54o,0.6665884562022993,0.3334115437977006
53s,0.05703452196291928,0.9429654780370808
53o,0.9401696648138382,0.059830335186161786
52s,0.6147102254436684,0.3852897745563316
52o,0.9941176470588236,0.0058823529411764705
44,0.03548295454545455,0.9645170454545454
43s,0.8292945916291606,0.17070540837083936
43o,0.6461887076308712,0.3538112923691287
42s,0.7754574508857851,0.2245425491142149
42o,0.7042471815717795,0.29575281842822054
33,0.011904761904761904,0.9880952380952381
32s,0.8343654088276901,0.16563459117230994
32o,0.9950980392156863,0.004901960784313725
22,0.010638297872340425,0.9893617021276596
AAP,0.02857142857142857,0.9714285714285714
AKsP,0.05,0.95
AKoP,0.5213745842326352,0.47862541576736484
AQsP,0.014285714285714285,0.9857142857142858
AQoP,0.006024096385542169,0.9939759036144579
AJsP,0.11260737900469146,0.8873926209953085
AJoP,0.13652534211360173,0.8634746578863983
ATsP,0.018518518518518517,0.9814814814814815
AToP,0.2670568387335834,0.7329431612664167
A9sP,0.07142857142857142,0.9285714285714286
A9oP,0.04758522727272727,0.9524147727272727
A8sP,0.3737137136327237,0.6262862863672762
A8oP,0.6089635645052176,0.3910364354947824
A7sP,0.37657848427534757,0.6234215157246524
A7oP,0.4844747013169594,0.5155252986830406
A6sP,0.28377880001558414,0.7162211999844158
A6oP,0.006172839506172839,0.9938271604938271
A5sP,0.43946026791952714,0.5605397320804729
A5oP,0.29166649785383225,0.7083335021461676
A4sP,0.9827586206896551,0.017241379310344827
A4oP,0.9615582707722963,0.03844172922770363
A3sP,0.29570416650787207,0.704295833492128
A3oP,0.6366930074630486,0.36330699253695137
A2sP,0.13960571378501677,0.8603942862149833
A2oP,0.4470665799276855,0.5529334200723145
KKP,0.013513513513513514,0.9864864864864865
KQsP,0.18801261125150334,0.8119873887484967
KQoP,0.012345679012345678,0.9876543209876543
KJsP,0.17534654067991232,0.8246534593200876
KJoP,0.23336917100503657,0.7666308289949635
KTsP,0.07349377838670591,0.9265062216132941
KToP,0.010869565217391304,0.9891304347826086
K9sP,0.4788264513693659,0.521173548630634
K9oP,0.011494252873563218,0.9885057471264368
K8sP,0.0769853603425904,0.9230146396574096
K8oP,0.02142857142857143,0.9785714285714286
K7sP,0.7679859652589981,0.23201403474100188
K7oP,0.010040160642570281,0.9899598393574298
K6sP,0.017857142857142856,0.9821428571428571
K6oP,0.00510204081632653,0.9948979591836735
K5sP,0.5653382245853082,0.43466177541469175
K5oP,0.686744238794909,0.31325576120509097
K4sP,0.1516963922589193,0.8483036077410807
K4oP,0.13437946565397813,0.8656205343460218
K3sP,0.5504821015933568,0.44951789840664325
K3oP,0.005,0.995
K2sP,0.09370602043890121,0.9062939795610988
K2oP,0.2918728881702177,0.7081271118297822
QQP,0.011904761904761904,0.9880952380952381
QJsP,0.019230769230769232,0.9807692307692307
QJoP,0.004807692307692308,0.9951923076923077
QTsP,0.02631578947368421,0.9736842105263158
QToP,0.0058823529411764705,0.9941176470588236
Q9sP,0.017857142857142856,0.9821428571428571
Q9oP,0.006666666666666667,0.9933333333333333
Q8sP,0.25,0.75
Q8oP,0.004629629629629629,0.9953703703703703
Q7sP,0.7079334287735858,0.2920665712264143
Q7oP,0.8978921285767625,0.1021078714232375
Q6sP,0.100616063670627,0.8993839363293731
Q6oP,0.051033454356846475,0.9489665456431535
Q5sP,0.577442452364193,0.422557547635807
Q5oP,0.3639113179832386,0.6360886820167614
Q4sP,0.027777777777777776,0.9722222222222222
Q4oP,0.01020408163265306,0.9897959183673469
Q3sP,0.49770664459113595,0.502293355408864
Q3oP,0.5342269821372231,0.46577301786277686
Q2sP,0.015151515151515152,0.9848484848484849
Q2oP,0.7898824393662054,0.21011756063379464
JJP,0.00980392156862745,0.9901960784313726
JTsP,0.037037037037037035,0.9629629629629629
JToP,0.8643723731373326,0.13562762686266727
J9sP,0.40724533368965055,0.5927546663103495
J9oP,0.6567329428135781,0.3432670571864219
J8sP,0.14193634276779385,0.8580636572322061
J8oP,0.007680976430976431,0.9923190235690236
J7sP,0.3193796667921118,0.6806203332078883
J7oP,0.5891860042302783,0.41081399576972166
J6sP,0.8636363636363636,0.13636363636363635
J6oP,0.5755537396002176,0.4244462603997823
J5sP,0.3250840628271338,0.6749159371728661
J5oP,0.07609254432705802,0.923907455672942
J4sP,0.46036464912545294,0.539635350874547
J4oP,0.5421969106007034,0.45780308939929665
J3sP,0.3785509515830058,0.6214490484169943
J3oP,0.7276810552696941,0.27231894473030605
J2sP,0.5740037533328933,0.4259962466671066
J2oP,0.49797275844216204,0.502027241557838
TTP,0.008928571428571428,0.9910714285714286
T9sP,0.6632425012573919,0.336757498742608
T9oP,0.6145636204558911,0.38543637954410886
T8sP,0.15948757126191374,0.8405124287380863
T8oP,0.8990948452406144,0.10090515475938562
T7sP,0.43365804535274605,0.566341954647254
T7oP,0.9414466719662021,0.05855332803379789
T6sP,0.9848484848484849,0.015151515151515152
T6oP,0.05460430138560216,0.9453956986143978
T5sP,0.03333333333333333,0.9666666666666667
T5oP,0.5389196743812992,0.4610803256187008
T4sP,0.5781237117481108,0.4218762882518891
T4oP,0.8832814895725413,0.11671851042745879
T3sP,0.9230150729355806,0.0769849270644194
T3oP,0.8588905937203021,0.1411094062796979
T2sP,0.4668105023747884,0.5331894976252116
T2oP,0.623728031959897,0.3762719680401029
99P,0.022222222222222223,0.9777777777777777
98sP,0.022727272727272728,0.9772727272727273
98oP,0.6109695578779839,0.3890304421220161
97sP,0.015151515151515152,0.9848484848484849
97oP,0.1446990534933821,0.8553009465066179
96sP,0.9393939393939394,0.06060606060606061
96oP,0.1812166866275655,0.8187833133724345
95sP,0.037037037037037035,0.9629629629629629
95oP,0.35047378342327057,0.6495262165767294
94sP,0.058823529411764705,0.9411764705882353
94oP,0.3555578511098039,0.6444421488901961
93sP,0.47474070354165443,0.5252592964583456
93oP,0.010869565217391304,0.9891304347826086
92sP,0.5520288912607535,0.4479711087392465
92oP,0.35892592720672406,0.641074072793276
88P,0.13537070907145266,0.8646292909285472
87sP,0.025035511363636364,0.9749644886363636
87oP,0.9728998906443168,0.027100109355683185
86sP,0.02,0.98
86oP,0.6262701964282202,0.37372980357177976
85sP,0.6805457691605548,0.3194542308394452
85oP,0.5929504395489701,0.4070495604510299
84sP,0.47238156509683393,0.5276184349031661
84oP,0.8174937542574772,0.18250624574252292
83sP,0.5328184578106019,0.4671815421893982
83oP,0.99,0.01
82sP,0.12453817733990145,0.8754618226600985
82oP,0.17662169761650376,0.8233783023834962
77P,0.8274887386482869,0.1725112613517131
76sP,0.4367136662528609,0.563286333747139
76oP,0.020833333333333304,0.9791666666666667
75sP,0.019230769230769232,0.9807692307692307
75oP,0.05860139077762834,0.9413986092223717
74sP,0.9204001323440906,0.07959986765590939
74oP,0.5850984011220776,0.4149015988779225
73sP,0.08913018715827846,0.9108698128417216
73oP,0.005747126436781609,0.9942528735632183
72sP,0.5930549421452291,0.40694505785477086
72oP,0.5824311584753888,0.41756884152461127
66P,0.046511627906976744,0.9534883720930233
65sP,0.021739130434782608,0.9782608695652174
65oP,0.9308545098342308,0.06914549016576917
64sP,0.2573901733689898,0.7426098266310102
64oP,0.6111595078744626,0.3888404921255374
63sP,0.9814814814814815,0.018518518518518517
63oP,0.7543884830759184,0.24561151692408162
62sP,0.7655612689392187,0.23443873106078128
62oP,0.9414849245892852,0.05851507541071485
55P,0.502688954590109,0.49731104540989096
54sP,0.020833333333333332,0.9791666666666666
54oP,0.06695057861081627,0.9330494213891838
53sP,0.06,0.9400000000000001
53oP,0.7822469371607422,0.21775306283925772
52sP,0.6477264396936196,0.35227356030638035
52oP,0.6064401749695864,0.39355982503041365
44P,0.03488372093023256,0.9651162790697675
43sP,0.21780101946639865,0.7821989805336014
43oP,0.5773409432606419,0.4226590567393582
42sP,0.9791666666666666,0.020833333333333332
42oP,0.4030177151631151,0.5969822848368849
33P,0.6700051973336053,0.32999480266639464
32sP,0.19464254027303723,0.8053574597269628
