,P,B
AA,0.008138346425021724,0.9918616535749782
AKs,0.002248225805664025,0.9977517741943359
AKo,0.00017319016279875303,0.9998268098372013
AQs,0.0005313496280552603,0.9994686503719448
AQo,0.006259968667015754,0.9937400313329842
AJs,0.019773698562842418,0.9802263014371576
AJo,0.00018005041411595248,0.999819949585884
ATs,0.0005045408678102926,0.9994954591321897
ATo,0.05311704590901629,0.9468829540909838
A9s,0.000505050505050505,0.9994949494949495
A9o,0.00016688918558077436,0.9998331108144193
A8s,0.0005081300813008131,0.9994918699186992
A8o,0.013679726990765835,0.9863202730092342
A7s,0.0016891891891891893,0.9983108108108109
A7o,0.0001827485380116959,0.9998172514619883
A6s,0.0005165289256198347,0.9994834710743802
A6o,0.0007550047471870392,0.999244995252813
A5s,0.002404217717497867,0.9975957822825021
A5o,0.0006156980864635011,0.9993843019135364
A4s,0.001335456954306197,0.9986645430456937
A4o,0.0016699762473768249,0.9983300237526231
A3s,0.0005428881650380022,0.999457111834962
A3o,0.04594346713032872,0.9540565328696713
A2s,0.0016551906779661016,0.9983448093220338
A2o,0.0005585344057193923,0.9994414655942807
KK,0.0003541076487252125,0.9996458923512748
KQs,0.000805439189894817,0.9991945608101052
KQo,0.00017699115044247788,0.9998230088495575
KJs,0.0028678754838726045,0.9971321245161274
KJo,0.0012228042978564171,0.9987771957021435
KTs,0.0005263157894736842,0.9994736842105263
KTo,0.002191911950504347,0.9978080880494956
K9s,0.0005175983436853002,0.9994824016563147
K9o,0.00805670666002772,0.9919432933399723
K8s,0.0005154639175257732,0.9994845360824742
K8o,0.013412278906586314,0.9865877210934136
K7s,0.0010741138560687433,0.9989258861439313
K7o,0.007544679458604923,0.9924553205413951
K6s,0.0005045408678102926,0.9994954591321897
K6o,0.016922815216168684,0.9830771847838314
K5s,0.0005353319057815846,0.9994646680942184
K5o,0.0015625512442040525,0.9984374487557959
K4s,0.002491123608871606,0.9975088763911284
K4o,0.0001707067258449983,0.999829293274155
K3s,0.0011324728702644948,0.9988675271297356
K3o,0.0006547477862112587,0.9993452522137887
K2s,0.0005347593582887701,0.9994652406417113
K2o,0.00017624250969333803,0.9998237574903066
QQ,0.0003399048266485384,0.9996600951733514
QJs,0.003141448095798306,0.9968585519042017
QJo,0.00017205781142463867,0.9998279421885754
QTs,0.0005175983436853002,0.9994824016563147
QTo,0.00017439832577607255,0.999825601674224
Q9s,0.0005422993492407809,0.9994577006507592
