,P,B
AA,0.012195121951219513,0.9878048780487805
AKs,0.03571428571428571,0.9642857142857143
AKo,0.00625,0.99375
AQs,0.023809523809523808,0.9761904761904762
AQo,0.0869584020558485,0.9130415979441514
AJs,0.28751359209064953,0.7124864079093505
AJo,0.282409076127693,0.7175909238723069
ATs,0.03409090909090909,0.9659090909090909
ATo,0.005434782608695652,0.9945652173913043
A9s,0.0602683711315722,0.9397316288684279
A9o,0.005263157894736842,0.9947368421052631
A8s,0.19149512193266527,0.8085048780673348
A8o,0.005681818181818182,0.9943181818181818
A7s,0.16506778693342766,0.8349322130665723
A7o,0.7084900306998666,0.29150996930013334
A6s,0.2568334415429931,0.7431665584570069
A6o,0.041829332166965424,0.9581706678330345
A5s,0.019230769230769232,0.9807692307692307
A5o,0.022189016664965897,0.977810983335034
A4s,0.017241379310344827,0.9827586206896551
A4o,0.005050505050505051,0.9949494949494949
A3s,0.11819199106057544,0.8818080089394246
A3o,0.011968085106382979,0.988031914893617
A2s,0.08998527753274982,0.9100147224672502
A2o,0.005494505494505495,0.9945054945054945
KK,0.010869565217391304,0.9891304347826086
KQs,0.013888888888888888,0.9861111111111112
KQo,0.04722222222222222,0.9527777777777777
KJs,0.05399149723812468,0.9460085027618753
KJo,0.007653061224489796,0.9923469387755102
KTs,0.016129032258064516,0.9838709677419355
KTo,0.13221799921495003,0.86778200078505
K9s,0.42531034476632723,0.5746896552336728
K9o,0.0058823529411764705,0.9941176470588236
K8s,0.05307708585891661,0.9469229141410833
K8o,0.8146400598298916,0.18535994017010837
K7s,0.28569548403797057,0.7143045159620294
K7o,0.005154639175257732,0.9948453608247423
K6s,0.0673076923076923,0.9326923076923077
K6o,0.005494505494505495,0.9945054945054945
K5s,0.02,0.98
K5o,0.33687624511011105,0.6631237548898891
K4s,0.4472845211537873,0.5527154788462126
K4o,0.008522727272727272,0.9914772727272727
K3s,0.011627906976744186,0.9883720930232558
K3o,0.00625,0.99375
K2s,0.018518518518518517,0.9814814814814815
K2o,0.01702127659574468,0.9829787234042554
QQ,0.03236540274166984,0.9676345972583302
QJs,0.017241379310344827,0.9827586206896551
QJo,0.04734848484848484,0.9526515151515151
QTs,0.022727272727272728,0.9772727272727273
QTo,0.005208333333333333,0.9947916666666666
Q9s,0.016129032258064516,0.9838709677419355
Q9o,0.005747126436781609,0.9942528735632183
Q8s,0.018518518518518517,0.9814814814814815
Q8o,0.004672897196261682,0.9953271028037384
Q7s,0.022727272727272728,0.9772727272727273
Q7o,0.004761904761904762,0.9952380952380953
Q6s,0.20523665459575305,0.794763345404247
Q6o,0.2489752941514518,0.7510247058485482
Q5s,0.1025792926914231,0.897420707308577
Q5o,0.005434782608695652,0.9945652173913043
Q4s,0.015151515151515152,0.9848484848484849
Q4o,0.004424778761061947,0.995575221238938
Q3s,0.08,0.92
Q3o,0.013882910030133446,0.9861170899698665
Q2s,0.019673361446644243,0.9803266385533557
Q2o,0.012539184952978056,0.9874608150470219
JJ,0.013157894736842105,0.9868421052631579
JTs,0.02,0.98
JTo,0.365155860519502,0.6348441394804979
J9s,0.22996295332624014,0.7700370466737598
J9o,0.004901960784313725,0.9950980392156863
J8s,0.014705882352941176,0.9852941176470589
J8o,0.006329113924050633,0.9936708860759493
J7s,0.026223776223776227,0.9737762237762239
J7o,0.006097560975609756,0.9939024390243902
J6s,0.13188330194017728,0.8681166980598227
J6o,0.4790430500611306,0.5209569499388693
J5s,0.06508289626208391,0.9349171037379161
J5o,0.05983180223842096,0.940168197761579
J4s,0.24515770349807364,0.7548422965019264
J4o,0.016927083333333332,0.9830729166666666
J3s,0.016666666666666666,0.9833333333333333
J3o,0.006024096385542169,0.9939759036144579
J2s,0.09304996215394327,0.9069500378460568
J2o,0.005263157894736842,0.9947368421052631
TT,0.1473262096361297,0.8526737903638704
T9s,0.018518518518518517,0.9814814814814815
T9o,0.0058823529411764705,0.9941176470588236
T8s,0.07614774975037772,0.9238522502496223
T8o,0.34795470258581745,0.6520452974141826
T7s,0.017857142857142856,0.9821428571428571
T7o,0.005208333333333333,0.9947916666666666
T6s,0.013513513513513514,0.9864864864864865
T6o,0.028387482467636987,0.971612517532363
T5s,0.015151515151515152,0.9848484848484849
T5o,0.0056179775280898875,0.9943820224719101
T4s,0.04054054054054054,0.9594594594594594
T4o,0.08087873545681844,0.9191212645431817
T3s,0.06896551724137931,0.9310344827586207
T3o,0.005747126436781609,0.9942528735632183
T2s,0.016129032258064516,0.9838709677419355
T2o,0.005813953488372093,0.9941860465116279
99,0.011627906976744186,0.9883720930232558
98s,0.03775797373358349,0.9622420262664166
98o,0.00949367088607595,0.990506329113924
97s,0.08915343396369045,0.9108465660363095
97o,0.004761904761904762,0.9952380952380953
96s,0.016129032258064516,0.9838709677419355
96o,0.007326007326007326,0.9926739926739926
95s,0.05303030303030303,0.946969696969697
95o,0.45869867842006795,0.5413013215799319
94s,0.015151515151515152,0.9848484848484849
94o,0.005319148936170213,0.9946808510638298
93s,0.3573537972192748,0.6426462027807252
93o,0.0058823529411764705,0.9941176470588236
92s,0.6486983372323609,0.3513016627676391
92o,0.026785714285714284,0.9732142857142857
88,0.15204851004250425,0.8479514899574958
87s,0.016129032258064516,0.9838709677419355
87o,0.0099834551388817,0.9900165448611183
86s,0.013157894736842105,0.9868421052631579
86o,0.005494505494505495,0.9945054945054945
85s,0.018518518518518517,0.9814814814814815
85o,0.05648712888924019,0.9435128711107599
84s,0.017857142857142856,0.9821428571428571
84o,0.005434782608695652,0.9945652173913043
83s,0.027777777777777776,0.9722222222222222
83o,0.00641025641025641,0.9935897435897436
82s,0.1089959120502459,0.8910040879497542
82o,0.006024096385542169,0.9939759036144579
77,0.021739130434782608,0.9782608695652174
76s,0.08731410863215198,0.9126858913678481
76o,0.08145321329940733,0.9185467867005928
75s,0.16022063978354947,0.8397793602164505
75o,0.005208333333333333,0.9947916666666666
74s,0.020833333333333332,0.9791666666666666
74o,0.08453690501361888,0.915463094986381
73s,0.013888888888888888,0.9861111111111112
73o,0.31572476372473873,0.6842752362752612
72s,0.9821428571428571,0.017857142857142856
72o,0.16049367892895314,0.8395063210710468
66,0.010869565217391304,0.9891304347826086
65s,0.015625,0.984375
65o,0.005681818181818182,0.9943181818181818
64s,0.025,0.975
64o,0.12652323890525347,0.8734767610947466
63s,0.0125,0.9875
63o,0.07703975033809568,0.9229602496619043
62s,0.017241379310344827,0.9827586206896551
62o,0.28341934651446543,0.7165806534855346
55,0.02983010753095817,0.970169892469042
54s,0.02,0.98
54o,0.0048543689320388345,0.9951456310679612
53s,0.0234375,0.9765625
53o,0.0765237221761755,0.9234762778238245
52s,0.04779411764705882,0.9522058823529411
52o,0.005494505494505495,0.9945054945054945
44,0.010638297872340425,0.9893617021276596
43s,0.014705882352941176,0.9852941176470589
43o,0.2187260683024783,0.7812739316975217
42s,0.012195121951219513,0.9878048780487805
42o,0.5248118567014767,0.4751881432985232
33,0.017241379310344827,0.9827586206896551
32s,0.023809523809523808,0.9761904761904762
32o,0.9647330942417712,0.035266905758228814
22,0.013513513513513514,0.9864864864864865
AAP,0.022727272727272728,0.9772727272727273
AKsP,0.5,0.5
AKoP,0.019801980198019802,0.9801980198019802
AQsP,0.015625,0.984375
AQoP,0.004901960784313725,0.9950980392156863
AJsP,0.36666666666666664,0.6333333333333333
AJoP,0.9489795918367347,0.05102040816326531
ATsP,0.47794807485808644,0.5220519251419136
AToP,0.10197493538022959,0.8980250646197704
A9sP,0.02631578947368421,0.9736842105263158
A9oP,0.0058823529411764705,0.9941176470588236
A8sP,0.29533124183989273,0.7046687581601073
A8oP,0.004672897196261682,0.9953271028037384
A7sP,0.05912745090232985,0.94087254909767
A7oP,0.38550168621926206,0.614498313780738
A6sP,0.05172413793103448,0.9482758620689655
A6oP,0.009174311926605505,0.9908256880733946
A5sP,0.2250058428704082,0.7749941571295917
A5oP,0.2944309837404179,0.7055690162595822
A4sP,0.5831243466841233,0.41687565331587684
A4oP,0.005494505494505495,0.9945054945054945
A3sP,0.016666666666666666,0.9833333333333333
A3oP,0.009009009009009009,0.990990990990991
A2sP,0.03895084627566105,0.961049153724339
A2oP,0.2913014474563618,0.7086985525436382
KKP,0.15258401328083765,0.8474159867191623
KQsP,0.015151515151515152,0.9848484848484849
KQoP,0.006493506493506494,0.9935064935064936
KJsP,0.4691071804977882,0.5308928195022118
KJoP,0.01,0.99
KTsP,0.06060606060606061,0.9393939393939394
KToP,0.3504313171667653,0.6495686828332348
K9sP,0.40540540540540543,0.5945945945945946
K9oP,0.005747126436781609,0.9942528735632183
K8sP,0.22212541972251978,0.7778745802774802
K8oP,0.004629629629629629,0.9953703703703703
K7sP,0.15990918297007192,0.840090817029928
K7oP,0.05568945689942541,0.9443105431005747
K6sP,0.8714285714285714,0.12857142857142856
K6oP,0.0056179775280898875,0.9943820224719101
K5sP,0.039473684210526314,0.9605263157894737
K5oP,0.06425707048288222,0.9357429295171178
K4sP,0.04411764705882353,0.9558823529411765
K4oP,0.6949315728154517,0.3050684271845483
K3sP,0.057692307692307696,0.9423076923076923
K3oP,0.6542727493820255,0.3457272506179745
K2sP,0.38131089271013135,0.6186891072898687
K2oP,0.046038477958685355,0.9539615220413147
QQP,0.08333333333333333,0.9166666666666666
QJsP,0.034482758620689655,0.9655172413793104
QJoP,0.012345679012345678,0.9876543209876543
QTsP,0.13156490358617728,0.8684350964138228
QToP,0.011235955056179775,0.9887640449438202
Q9sP,0.5487224655372172,0.45127753446278274
Q9oP,0.004672897196261682,0.9953271028037384
Q8sP,0.45980662530905214,0.5401933746909479
Q8oP,0.012658227848101266,0.9873417721518988
Q7sP,0.22756993962900054,0.7724300603709995
Q7oP,0.017241379310344827,0.9827586206896551
Q6sP,0.6948612053381884,0.3051387946618117
Q6oP,0.38097957115416137,0.6190204288458387
Q5sP,0.3944921093211287,0.6055078906788712
Q5oP,0.007042253521126761,0.9929577464788732
Q4sP,0.020833333333333332,0.9791666666666666
Q4oP,0.004901960784313725,0.9950980392156863
Q3sP,0.04411764705882353,0.9558823529411765
Q3oP,0.27274037537213064,0.7272596246278693
Q2sP,0.016129032258064516,0.9838709677419355
Q2oP,0.2764567202094555,0.7235432797905446
JJP,0.03553451227279292,0.9644654877272071
JTsP,0.37878676018210894,0.6212132398178911
JToP,0.01282051282051282,0.9871794871794872
J9sP,0.375,0.625
J9oP,0.04216867469879518,0.9578313253012049
J8sP,0.7250526754663441,0.2749473245336559
J8oP,0.12177207369698743,0.8782279263030126
J7sP,0.08064516129032258,0.9193548387096774
J7oP,0.006666666666666667,0.9933333333333333
J6sP,0.013513513513513514,0.9864864864864865
J6oP,0.49066026511051947,0.5093397348894806
J5sP,0.9516129032258065,0.04838709677419355
J5oP,0.4999312682055079,0.5000687317944922
J4sP,0.017241379310344827,0.9827586206896551
J4oP,0.8561014497718963,0.1438985502281037
J3sP,0.02,0.98
J3oP,0.5460084971285921,0.4539915028714078
J2sP,0.050910282245240024,0.94908971775476
J2oP,0.009345794392523364,0.9906542056074766
TTP,0.05724905849714024,0.9427509415028598
T9sP,0.015151515151515152,0.9848484848484849
T9oP,0.8462535671430429,0.15374643285695708
T8sP,0.4119034406893573,0.5880965593106426
T8oP,0.006493506493506494,0.9935064935064936
T7sP,0.01282051282051282,0.9871794871794872
T7oP,0.10930518982276559,0.8906948101772344
T6sP,0.8980741456785735,0.10192585432142655
T6oP,0.040229885057471264,0.9597701149425287
T5sP,0.49323524577360756,0.5067647542263924
T5oP,0.028532740101725015,0.971467259898275
T4sP,0.33297968916971754,0.6670203108302825
T4oP,0.30385944873465315,0.6961405512653469
T3sP,0.7063553913842199,0.2936446086157802
