,P,B
AA,0.40324863851984166,0.5967513614801584
AKs,0.010416666666666666,0.9895833333333334
AKo,0.011724321255839578,0.9882756787441603
AQs,0.008064516129032258,0.9919354838709677
AQo,0.01782699427549403,0.982173005724506
AJs,0.9216995872244477,0.0783004127755524
AJo,0.0030303030303030303,0.996969696969697
ATs,0.3230639019702864,0.6769360980297137
ATo,0.6418214332312958,0.3581785667687042
A9s,0.4351573102454832,0.5648426897545169
A9o,0.07740179207140423,0.9225982079285958
A8s,0.04075468720221079,0.9592453127977892
A8o,0.07413604395954172,0.9258639560404582
A7s,0.5942791699332522,0.40572083006674775
A7o,0.015576928442186218,0.9844230715578138
A6s,0.007936507936507936,0.9920634920634921
A6o,0.009274349608737194,0.9907256503912627
A5s,0.006493506493506494,0.9935064935064936
A5o,0.005263157894736842,0.9947368421052631
A4s,0.024667145295824693,0.9753328547041753
A4o,0.7542398827945159,0.24576011720548407
A3s,0.007936507936507936,0.9920634920634921
A3o,0.06665611303271093,0.9333438869672891
A2s,0.045386842026017823,0.9546131579739822
A2o,0.1530341043859015,0.8469658956140985
KK,0.06906713717823293,0.9309328628217671
KQs,0.2907406491848558,0.7092593508151442
KQo,0.11737348892568471,0.8826265110743152
KJs,0.010416666666666666,0.9895833333333334
KJo,0.012040441176470589,0.9879595588235294
KTs,0.32498444439384816,0.6750155556061519
KTo,0.04423838396209847,0.9557616160379014
K9s,0.22785109463568196,0.772148905364318
K9o,0.3824271501276971,0.6175728498723029
K8s,0.008771929824561403,0.9912280701754386
K8o,0.002793296089385475,0.9972067039106145
K7s,0.02734516468550986,0.9726548353144903
K7o,0.012846703328531927,0.987153296671468
K6s,0.0531624755366284,0.9468375244633717
K6o,0.009486403913781903,0.990513596086218
K5s,0.007692307692307693,0.9923076923076923
K5o,0.5368325345838875,0.4631674654161124
K4s,0.9633206249406739,0.036679375059326016
K4o,0.22421002013455013,0.7757899798654498
K3s,0.1261891362930735,0.8738108637069265
K3o,0.002688172043010753,0.9973118279569892
K2s,0.0323093488995842,0.9676906511004157
K2o,0.6641782780357822,0.3358217219642177
QQ,0.5667536002185196,0.4332463997814805
QJs,0.2549687418960984,0.7450312581039016
QJo,0.058759556949688256,0.9412404430503116
QTs,0.03329352297070891,0.9667064770292911
QTo,0.0097438294811953,0.9902561705188048
Q9s,0.1725168250089045,0.8274831749910954
Q9o,0.031678095763492196,0.9683219042365079
Q8s,0.019236207500150412,0.9807637924998496
Q8o,0.004675385791835749,0.9953246142081642
Q7s,0.8442641500812462,0.15573584991875378
Q7o,0.02133615956680005,0.9786638404332
Q6s,0.17493577057787885,0.8250642294221212
Q6o,0.06638606204162592,0.9336139379583741
Q5s,0.859714045432272,0.14028595456772802
Q5o,0.3598286646728068,0.6401713353271933
Q4s,0.056274574473844735,0.9437254255261553
Q4o,0.002840909090909091,0.9971590909090909
Q3s,0.32103732408749863,0.6789626759125014
Q3o,0.43885960047480105,0.5611403995251989
Q2s,0.008771929824561403,0.9912280701754386
Q2o,0.9922735459292247,0.0077264540707753316
JJ,0.9409260773642348,0.059073922635765164
JTs,0.9427979124623739,0.057202087537626095
JTo,0.5802204611287715,0.41977953887122843
J9s,0.38216817258279917,0.6178318274172008
J9o,0.18222828805393068,0.8177717119460692
