,P,B
AA,0.9289142141579214,0.07108578584207861
AKs,0.34155887272522056,0.6584411272747794
AKo,0.43058841055065705,0.569411589449343
AQs,0.008333333333333333,0.9916666666666667
AQo,0.002890173410404624,0.9971098265895953
AJs,0.44572533464012315,0.5542746653598768
AJo,0.002890173410404624,0.9971098265895953
ATs,0.2194352296479031,0.7805647703520969
ATo,0.14944723970574114,0.8505527602942589
A9s,0.007352941176470588,0.9926470588235294
A9o,0.056522508967324435,0.9434774910326755
A8s,0.01506754686330696,0.9849324531366931
A8o,0.009574010327022375,0.9904259896729776
A7s,0.09730940555039747,0.9026905944496025
A7o,0.023140493005729956,0.9768595069942702
A6s,0.5008920852646099,0.4991079147353901
A6o,0.31755426721061586,0.6824457327893841
A5s,0.4496445301014566,0.5503554698985433
A5o,0.7159281562656111,0.2840718437343888
A4s,0.7450311530838774,0.25496884691612265
A4o,0.002380952380952381,0.9976190476190476
A3s,0.12649646530117362,0.8735035346988262
A3o,0.002717391304347826,0.9972826086956522
A2s,0.04701786223587671,0.9529821377641232
A2o,0.02709797521032627,0.9729020247896737
KK,0.027535256552756893,0.9724647434472432
KQs,0.007246376811594203,0.9927536231884058
KQo,0.002857142857142857,0.9971428571428571
KJs,0.5912837561565599,0.4087162438434402
KJo,0.27426441675075686,0.7257355832492431
KTs,0.3638080488688614,0.6361919511311386
KTo,0.03356295639993325,0.9664370436000668
K9s,0.0369695224324469,0.963030477567553
K9o,0.931984813835761,0.0680151861642389
K8s,0.007352941176470588,0.9926470588235294
K8o,0.002702702702702703,0.9972972972972973
K7s,0.8580856634260585,0.1419143365739415
K7o,0.002617801047120419,0.9973821989528796
K6s,0.07766357102338453,0.9223364289766155
K6o,0.46654649692513084,0.5334535030748692
K5s,0.38032087757849803,0.6196791224215019
K5o,0.002617801047120419,0.9973821989528796
K4s,0.008771929824561403,0.9912280701754386
K4o,0.010062621603649078,0.989937378396351
K3s,0.06353298421600952,0.9364670157839904
K3o,0.006578947368421052,0.993421052631579
K2s,0.007246376811594203,0.9927536231884058
K2o,0.003048780487804878,0.9969512195121951
QQ,0.1519175417000043,0.8480824582999957
QJs,0.00847457627118644,0.9915254237288136
QJo,0.13106208946072304,0.868937910539277
QTs,0.08429449045209618,0.9157055095479038
QTo,0.7016726606274616,0.2983273393725384
Q9s,0.2688351005331336,0.7311648994668664
Q9o,0.4405466366806355,0.5594533633193645
Q8s,0.6716359385892469,0.32836406141075314
Q8o,0.0026041666666666665,0.9973958333333334
Q7s,0.043028749806843875,0.9569712501931561
Q7o,0.17808105578908998,0.8219189442109099
Q6s,0.8459676331284928,0.15403236687150718
Q6o,0.024291006929307395,0.9757089930706926
Q5s,0.7582168464456058,0.24178315355439414
Q5o,0.002403846153846154,0.9975961538461539
Q4s,0.36736787264234,0.63263212735766
Q4o,0.02447442028842873,0.9755255797115714
Q3s,0.0322744724612727,0.9677255275387273
Q3o,0.0053475935828877,0.9946524064171123
Q2s,0.05641497419786044,0.9435850258021394
Q2o,0.003048780487804878,0.9969512195121951
JJ,0.5242474084883576,0.4757525915116424
JTs,0.009615384615384616,0.9903846153846154
JTo,0.944223911372127,0.05577608862787297
J9s,0.3333467924226407,0.6666532075773594
J9o,0.05420688077314021,0.9457931192268598
J8s,0.008620689655172414,0.9913793103448276
J8o,0.0026041666666666665,0.9973958333333334
J7s,0.1290616434144259,0.8709383565855742
J7o,0.09968247290797888,0.9003175270920212
J6s,0.843757066850475,0.1562429331495251
J6o,0.9816610229341305,0.01833897706586946
J5s,0.8263115139719955,0.17368848602800444
J5o,0.00267379679144385,0.9973262032085561
J4s,0.9145637977284605,0.08543620227153947
J4o,0.9366352023561633,0.06336479764383678
J3s,0.01111111111111111,0.9888888888888889
J3o,0.20559794842226883,0.7944020515777311
J2s,0.16064851842755262,0.8393514815724473
J2o,0.1041969103066448,0.8958030896933553
TT,0.020058139534883723,0.9799418604651163
T9s,0.7202677992297901,0.27973220077020977
T9o,0.011020997675250107,0.9889790023247499
T8s,0.1394788264412836,0.8605211735587164
T8o,0.3638885185258912,0.6361114814741088
T7s,0.008771929824561403,0.9912280701754386
T7o,0.0033112582781456954,0.9966887417218543
T6s,0.23380613637251169,0.7661938636274884
