,P,B
AA,0.8849003046943598,0.11509969530564024
AKs,0.00032362459546925567,0.9996763754045307
AKo,0.3330537068196916,0.6669462931803084
AQs,0.9934709542573731,0.006529045742626893
AQo,0.5152674387557287,0.4847325612442713
AJs,0.005047967437762746,0.9949520325622373
AJo,0.3394192501007051,0.6605807498992949
ATs,0.29369028730739416,0.7063097126926059
ATo,0.0001128158844765343,0.9998871841155235
A9s,0.1515474554507494,0.8484525445492506
A9o,0.6216617047224396,0.3783382952775603
A8s,0.32378757174424017,0.6762124282557599
A8o,0.08205674533583794,0.9179432546641622
A7s,0.6174493552558408,0.3825506447441593
A7o,0.0003379108996539792,0.999662089100346
A6s,0.16402100402392092,0.835978995976079
A6o,0.7220580797327262,0.2779419202672737
A5s,0.11471059128941921,0.8852894087105808
A5o,0.04818200800976472,0.9518179919902353
A4s,0.02583080211180745,0.9741691978881926
A4o,0.3267920910055757,0.6732079089944243
A3s,0.11820411061051113,0.8817958893894888
A3o,0.4718634086634524,0.5281365913365476
A2s,0.07831695317614039,0.9216830468238596
A2o,0.8479385635413098,0.15206143645869022
KK,0.9709074495857208,0.029092550414279224
KQs,0.14929253549548074,0.8507074645045193
KQo,0.11245734360956096,0.887542656390439
KJs,0.7707349976954292,0.2292650023045708
KJo,0.7369978322107554,0.2630021677892446
KTs,0.8530963538326731,0.14690364616732687
KTo,0.0027940964598627735,0.9972059035401373
K9s,0.2791320431785798,0.7208679568214201
K9o,0.23143210284262647,0.7685678971573735
K8s,0.2478366688803055,0.7521633311196945
K8o,0.014312846261312922,0.9856871537386872
K7s,0.5823131215388583,0.4176868784611418
K7o,0.0016590623747399888,0.9983409376252599
K6s,0.6241840305354609,0.37581596946453905
K6o,0.14516726249710785,0.8548327375028922
K5s,0.9943473566461614,0.005652643353838698
K5o,0.00771612680540348,0.9922838731945965
K4s,0.2059709030053506,0.7940290969946495
K4o,0.033150740873880376,0.9668492591261195
K3s,0.0003333333333333333,0.9996666666666667
K3o,0.022695431893681898,0.9773045681063182
K2s,0.00032278889606197545,0.999677211103938
K2o,0.002186095594662967,0.997813904405337
QQ,0.9900321467182169,0.009967853281783116
QJs,0.877473653294246,0.12252634670575407
QJo,0.0009659668618885364,0.9990340331381115
QTs,0.02931716686878826,0.9706828331312117
QTo,0.7836206394605223,0.21637936053947765
Q9s,0.23424117284423995,0.7657588271557599
Q9o,0.327883983061301,0.6721160169386988
Q8s,0.9352003306238009,0.06479966937619916
Q8o,0.13395367962661583,0.8660463203733842
Q7s,0.1891746225968149,0.8108253774031852
Q7o,0.0030323273021546286,0.9969676726978453
Q6s,0.11167136869119058,0.8883286313088095
Q6o,0.3463030675130724,0.6536969324869277
Q5s,0.0003540814062561,0.9996459185937439
Q5o,0.043848870396422254,0.9561511296035777
Q4s,0.27147465942519755,0.7285253405748024
Q4o,0.3468872970135638,0.6531127029864362
Q3s,0.3358651562611703,0.6641348437388296
Q3o,0.6268578711660494,0.37314212883395054
Q2s,0.45552765465288003,0.54447234534712
Q2o,0.4470129183639523,0.5529870816360478
JJ,0.9514620573010166,0.04853794269898332
JTs,0.07179347059722649,0.9282065294027735
JTo,0.00011335298118340512,0.9998866470188166
J9s,0.0015351578201912225,0.9984648421798088
J9o,0.31497619803415683,0.6850238019658432
J8s,0.8996821321753756,0.10031786782462437
J8o,0.7001275981686974,0.2998724018313027
J7s,0.905398291854516,0.094601708145484
J7o,0.9192222145887695,0.08077778541123043
J6s,0.7075124082558926,0.29248759174410743
J6o,0.9845819544272919,0.015418045572707968
J5s,0.9807303149490566,0.019269685050943366
J5o,0.9823932156646209,0.017606784335379058
J4s,0.7437847780700785,0.2562152219299215
J4o,0.9697261109626755,0.030273889037324482
J3s,0.9350351684821343,0.06496483151786561
J3o,0.99989092495637,0.00010907504363001745
